timestamp_utc;kWh_to_installation;kWh_to_grid;kvarh_to_installation;kvarh_to_grid
2022-12-31 23:00:00+00:00;0.818;0.0;0.093;0.0
2022-12-31 23:15:00+00:00;0.617;0.0;0.093;0.0
2022-12-31 23:30:00+00:00;0.586;0.0;0.123;0.0
2022-12-31 23:45:00+00:00;0.559;0.0;0.107;0.0
2023-01-01 00:00:00+00:00;0.545;0.0;0.087;0.0
2023-01-01 00:15:00+00:00;0.793;0.0;0.118;0.0
2023-01-01 00:30:00+00:00;0.701;0.0;0.104;0.0
2023-01-01 00:45:00+00:00;0.553;0.0;0.091;0.0
2023-01-01 01:00:00+00:00;0.569;0.0;0.12;0.0
2023-01-01 01:15:00+00:00;0.576;0.0;0.11;0.0
2023-01-01 01:30:00+00:00;0.558;0.0;0.092;0.0
2023-01-01 01:45:00+00:00;1.065;0.0;0.105;0.0
2023-01-01 02:00:00+00:00;0.656;0.0;0.106;0.0
2023-01-01 02:15:00+00:00;0.524;0.0;0.107;0.0
2023-01-01 02:30:00+00:00;0.511;0.0;0.096;0.0
2023-01-01 02:45:00+00:00;0.508;0.0;0.1;0.0
2023-01-01 03:00:00+00:00;0.567;0.0;0.105;0.0
2023-01-01 03:15:00+00:00;0.757;0.0;0.091;0.0
2023-01-01 03:30:00+00:00;0.527;0.0;0.093;0.0
2023-01-01 03:45:00+00:00;0.891;0.0;0.122;0.0
2023-01-01 04:00:00+00:00;0.564;0.0;0.141;0.0
2023-01-01 04:15:00+00:00;0.528;0.0;0.094;0.0
2023-01-01 04:30:00+00:00;0.574;0.0;0.114;0.0
2023-01-01 04:45:00+00:00;0.792;0.0;0.106;0.0
2023-01-01 05:00:00+00:00;0.487;0.0;0.087;0.0
2023-01-01 05:15:00+00:00;0.476;0.0;0.106;0.0
2023-01-01 05:30:00+00:00;0.489;0.0;0.117;0.0
2023-01-01 05:45:00+00:00;0.459;0.0;0.093;0.0
2023-01-01 06:00:00+00:00;0.49;0.0;0.092;0.0
2023-01-01 06:15:00+00:00;0.734;0.0;0.118;0.0
2023-01-01 06:30:00+00:00;0.446;0.0;0.09;0.0
2023-01-01 06:45:00+00:00;0.436;0.0;0.09;0.0
2023-01-01 07:00:00+00:00;0.481;0.0;0.134;0.0
2023-01-01 07:15:00+00:00;0.449;0.0;0.098;0.0
2023-01-01 07:30:00+00:00;0.479;0.0;0.089;0.0
2023-01-01 07:45:00+00:00;0.664;0.0;0.113;0.0
2023-01-01 08:00:00+00:00;0.389;0.0;0.106;0.0
2023-01-01 08:15:00+00:00;0.374;0.0;0.103;0.0
2023-01-01 08:30:00+00:00;0.366;0.0;0.113;0.0
2023-01-01 08:45:00+00:00;0.355;0.0;0.119;0.0
2023-01-01 09:00:00+00:00;0.302;0.0;0.111;0.0
2023-01-01 09:15:00+00:00;0.517;0.0;0.136;0.0
2023-01-01 09:30:00+00:00;0.285;0.0;0.17;0.0
2023-01-01 09:45:00+00:00;0.241;0.0;0.158;0.0
2023-01-01 10:00:00+00:00;0.256;0.0;0.178;0.0
2023-01-01 10:15:00+00:00;0.221;0.0;0.171;0.0
2023-01-01 10:30:00+00:00;0.27;0.0;0.156;0.0
2023-01-01 10:45:00+00:00;0.371;0.0;0.163;0.0
2023-01-01 11:00:00+00:00;0.243;0.0;0.188;0.0
2023-01-01 11:15:00+00:00;0.114;0.0;0.183;0.0
2023-01-01 11:30:00+00:00;0.105;0.0;0.177;0.0
2023-01-01 11:45:00+00:00;0.125;0.0;0.191;0.0
2023-01-01 12:00:00+00:00;0.257;0.0;0.167;0.0
2023-01-01 12:15:00+00:00;0.29;0.0;0.166;0.0
2023-01-01 12:30:00+00:00;0.163;0.0;0.178;0.0
2023-01-01 12:45:00+00:00;0.167;0.0;0.178;0.0
2023-01-01 13:00:00+00:00;0.218;0.0;0.168;0.0
2023-01-01 13:15:00+00:00;0.237;0.0;0.176;0.0
2023-01-01 13:30:00+00:00;0.413;0.0;0.148;0.0
2023-01-01 13:45:00+00:00;0.949;0.0;0.171;0.0
2023-01-01 14:00:00+00:00;0.581;0.0;0.18;0.0
2023-01-01 14:15:00+00:00;0.352;0.0;0.15;0.0
2023-01-01 14:30:00+00:00;0.408;0.0;0.118;0.0
2023-01-01 14:45:00+00:00;0.44;0.0;0.125;0.0
2023-01-01 15:00:00+00:00;0.443;0.0;0.095;0.0
2023-01-01 15:15:00+00:00;0.689;0.0;0.082;0.0
2023-01-01 15:30:00+00:00;0.572;0.0;0.117;0.0
2023-01-01 15:45:00+00:00;0.583;0.0;0.093;0.0
2023-01-01 16:00:00+00:00;0.715;0.0;0.133;0.0
2023-01-01 16:15:00+00:00;0.796;0.0;0.137;0.0
2023-01-01 16:30:00+00:00;1.044;0.0;0.116;0.0
2023-01-01 16:45:00+00:00;1.045;0.0;0.161;0.0
2023-01-01 17:00:00+00:00;1.137;0.0;0.197;0.0
2023-01-01 17:15:00+00:00;1.015;0.0;0.193;0.0
2023-01-01 17:30:00+00:00;0.935;0.0;0.202;0.0
2023-01-01 17:45:00+00:00;0.91;0.0;0.195;0.0
2023-01-01 18:00:00+00:00;0.938;0.0;0.176;0.0
2023-01-01 18:15:00+00:00;0.931;0.0;0.208;0.0
2023-01-01 18:30:00+00:00;1.106;0.0;0.206;0.0
2023-01-01 18:45:00+00:00;1.111;0.0;0.185;0.0
2023-01-01 19:00:00+00:00;1.077;0.0;0.196;0.0
2023-01-01 19:15:00+00:00;1.073;0.0;0.199;0.0
2023-01-01 19:30:00+00:00;0.907;0.0;0.183;0.0
2023-01-01 19:45:00+00:00;0.892;0.0;0.166;0.0
2023-01-01 20:00:00+00:00;0.806;0.0;0.133;0.0
2023-01-01 20:15:00+00:00;0.991;0.0;0.137;0.0
2023-01-01 20:30:00+00:00;0.797;0.0;0.148;0.0
2023-01-01 20:45:00+00:00;0.735;0.0;0.128;0.0
2023-01-01 21:00:00+00:00;0.737;0.0;0.141;0.0
2023-01-01 21:15:00+00:00;0.752;0.0;0.138;0.0
2023-01-01 21:30:00+00:00;0.726;0.0;0.127;0.0
2023-01-01 21:45:00+00:00;0.837;0.0;0.132;0.0
2023-01-01 22:00:00+00:00;0.849;0.0;0.138;0.0
2023-01-01 22:15:00+00:00;0.727;0.0;0.126;0.0
2023-01-01 22:30:00+00:00;0.696;0.0;0.099;0.0
2023-01-01 22:45:00+00:00;0.585;0.0;0.116;0.0
2023-01-01 23:00:00+00:00;0.61;0.0;0.102;0.0
2023-01-01 23:15:00+00:00;0.565;0.0;0.098;0.0
2023-01-01 23:30:00+00:00;0.677;0.0;0.109;0.0
2023-01-01 23:45:00+00:00;0.714;0.0;0.103;0.0
2023-01-02 00:00:00+00:00;0.552;0.0;0.098;0.0
2023-01-02 00:15:00+00:00;0.583;0.0;0.118;0.0
2023-01-02 00:30:00+00:00;0.584;0.0;0.122;0.0
2023-01-02 00:45:00+00:00;0.555;0.0;0.096;0.0
2023-01-02 01:00:00+00:00;0.676;0.0;0.11;0.0
2023-01-02 01:15:00+00:00;0.689;0.0;0.124;0.0
2023-01-02 01:30:00+00:00;0.559;0.0;0.093;0.0
2023-01-02 01:45:00+00:00;0.576;0.0;0.111;0.0
2023-01-02 02:00:00+00:00;0.587;0.0;0.127;0.0
2023-01-02 02:15:00+00:00;0.557;0.0;0.09;0.0
2023-01-02 02:30:00+00:00;0.779;0.0;0.097;0.0
2023-01-02 02:45:00+00:00;0.604;0.0;0.141;0.0
2023-01-02 03:00:00+00:00;0.542;0.0;0.088;0.0
2023-01-02 03:15:00+00:00;0.557;0.0;0.096;0.0
2023-01-02 03:30:00+00:00;0.61;0.0;0.149;0.0
2023-01-02 03:45:00+00:00;0.551;0.0;0.087;0.0
2023-01-02 04:00:00+00:00;0.725;0.0;0.086;0.0
2023-01-02 04:15:00+00:00;0.641;0.0;0.137;0.0
2023-01-02 04:30:00+00:00;0.527;0.0;0.099;0.0
2023-01-02 04:45:00+00:00;0.522;0.0;0.094;0.0
2023-01-02 05:00:00+00:00;0.551;0.0;0.141;0.0
2023-01-02 05:15:00+00:00;0.527;0.0;0.107;0.0
2023-01-02 05:30:00+00:00;0.538;0.0;0.096;0.0
2023-01-02 05:45:00+00:00;0.74;0.0;0.132;0.0
2023-01-02 06:00:00+00:00;0.529;0.0;0.118;0.0
2023-01-02 06:15:00+00:00;0.514;0.0;0.101;0.0
2023-01-02 06:30:00+00:00;0.695;0.0;0.128;0.0
2023-01-02 06:45:00+00:00;0.717;0.0;0.116;0.0
2023-01-02 07:00:00+00:00;0.751;0.0;0.096;0.0
2023-01-02 07:15:00+00:00;0.858;0.0;0.124;0.0
2023-01-02 07:30:00+00:00;0.836;0.0;0.125;0.0
2023-01-02 07:45:00+00:00;0.527;0.0;0.102;0.0
2023-01-02 08:00:00+00:00;0.473;0.0;0.124;0.0
2023-01-02 08:15:00+00:00;0.583;0.0;0.188;0.0
2023-01-02 08:30:00+00:00;0.555;0.0;0.196;0.0
2023-01-02 08:45:00+00:00;0.481;0.0;0.158;0.0
2023-01-02 09:00:00+00:00;0.581;0.0;0.179;0.0
2023-01-02 09:15:00+00:00;0.569;0.0;0.15;0.0
2023-01-02 09:30:00+00:00;0.367;0.0;0.137;0.0
2023-01-02 09:45:00+00:00;0.313;0.0;0.133;0.0
2023-01-02 10:00:00+00:00;0.29;0.0;0.186;0.0
2023-01-02 10:15:00+00:00;0.279;0.0;0.158;0.0
2023-01-02 10:30:00+00:00;0.345;0.0;0.14;0.0
2023-01-02 10:45:00+00:00;0.347;0.0;0.165;0.0
2023-01-02 11:00:00+00:00;0.356;0.0;0.135;0.0
2023-01-02 11:15:00+00:00;0.517;0.0;0.114;0.0
2023-01-02 11:30:00+00:00;0.304;0.0;0.159;0.0
2023-01-02 11:45:00+00:00;0.315;0.0;0.145;0.0
2023-01-02 12:00:00+00:00;0.264;0.0;0.141;0.0
2023-01-02 12:15:00+00:00;0.206;0.0;0.166;0.0
2023-01-02 12:30:00+00:00;0.128;0.0;0.183;0.0
2023-01-02 12:45:00+00:00;0.161;0.0;0.164;0.0
2023-01-02 13:00:00+00:00;0.17;0.0;0.168;0.0
2023-01-02 13:15:00+00:00;0.231;0.0;0.184;0.0
2023-01-02 13:30:00+00:00;0.514;0.0;0.126;0.0
2023-01-02 13:45:00+00:00;0.376;0.0;0.119;0.0
2023-01-02 14:00:00+00:00;0.388;0.0;0.134;0.0
2023-01-02 14:15:00+00:00;0.402;0.0;0.114;0.0
2023-01-02 14:30:00+00:00;0.473;0.0;0.109;0.0
2023-01-02 14:45:00+00:00;0.475;0.0;0.1;0.0
2023-01-02 15:00:00+00:00;0.533;0.0;0.112;0.0
2023-01-02 15:15:00+00:00;0.528;0.0;0.107;0.0
2023-01-02 15:30:00+00:00;0.555;0.0;0.137;0.0
2023-01-02 15:45:00+00:00;0.766;0.0;0.146;0.0
2023-01-02 16:00:00+00:00;0.779;0.0;0.137;0.0
2023-01-02 16:15:00+00:00;0.812;0.0;0.153;0.0
2023-01-02 16:30:00+00:00;0.841;0.0;0.166;0.0
2023-01-02 16:45:00+00:00;0.882;0.0;0.198;0.0
2023-01-02 17:00:00+00:00;0.908;0.0;0.181;0.0
2023-01-02 17:15:00+00:00;0.882;0.0;0.181;0.0
2023-01-02 17:30:00+00:00;0.908;0.0;0.182;0.0
2023-01-02 17:45:00+00:00;0.842;0.0;0.174;0.0
2023-01-02 18:00:00+00:00;0.961;0.0;0.175;0.0
2023-01-02 18:15:00+00:00;1.153;0.0;0.175;0.0
2023-01-02 18:30:00+00:00;0.846;0.0;0.18;0.0
2023-01-02 18:45:00+00:00;0.824;0.0;0.173;0.0
2023-01-02 19:00:00+00:00;0.766;0.0;0.152;0.0
2023-01-02 19:15:00+00:00;0.793;0.0;0.173;0.0
2023-01-02 19:30:00+00:00;0.775;0.0;0.163;0.0
2023-01-02 19:45:00+00:00;0.72;0.0;0.159;0.0
2023-01-02 20:00:00+00:00;0.735;0.0;0.177;0.0
2023-01-02 20:15:00+00:00;0.909;0.0;0.145;0.0
2023-01-02 20:30:00+00:00;0.966;0.0;0.148;0.0
2023-01-02 20:45:00+00:00;0.933;0.0;0.143;0.0
2023-01-02 21:00:00+00:00;0.682;0.0;0.149;0.0
2023-01-02 21:15:00+00:00;0.681;0.0;0.15;0.0
