0_meter_id;0_installation_type;0_object_type;0_object_id;0_object_id_manual;0_num_housing_units;0_num_data_points;0_max_net_injection;1_ewh;1_hp;1_hp-add;1_hp-wh;1_ev;1_storage_heating;1_direct_heating;1_change;2_energy_tariff;2_grid_tariff;2_tariff_from;2_tariff_to;2_wh_control;2_hp_control;2_ev_control
174090;Single-family house;Single-family house;200099.0;False;;70150;;True;False;False;False;False;False;False;False;;;;;False;False;False
176703;Single-family house;Single-family house;200511.0;False;;69312;;True;False;False;False;False;False;False;False;UNIT_LOW;UNIT;2023-10-01;2025-01-01;False;False;False
150287;Common areas;Apartment building;200623.0;False;8.0;70165;;False;False;False;False;False;False;False;False;;;;;False;False;False
187018;Heat pump;Apartment building;200623.0;False;8.0;70170;;False;True;False;False;False;False;False;False;;;;;False;False;False
195531;Underground garage;Apartment building;200623.0;False;8.0;70167;;False;False;False;False;True;False;False;False;;;;;False;False;False
159217;Single-family house;Single-family house;200789.0;False;;70135;;True;True;True;False;False;False;False;False;;;;;False;False;False
133548;Single-family house;Single-family house;200959.0;False;;70163;;False;True;True;False;True;False;False;True;;;;;False;False;False
118848;Single-family house;Single-family house;201023.0;False;;35037;;True;False;False;False;False;False;False;False;;;;;False;False;False
102213;Single-family house;Single-family house;201078.0;False;;70166;;True;False;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
108795;Single-family house;Single-family house;201143.0;False;;70137;;False;False;False;False;False;False;False;False;;;;;False;False;False
123919;Common areas;Single-family house;201188.0;False;2.0;70134;;False;True;False;False;False;False;False;False;;;;;False;False;False
107080;Common areas;Apartment building;201402.0;False;4.0;70163;;False;False;False;False;False;False;False;False;;;;;False;False;False
103007;Single-family house;Single-family house;201447.0;False;;70143;;False;False;False;False;False;False;True;False;;;;;False;False;False
135930;Heat pump;Single-family house;201447.0;False;1.0;70134;;True;True;False;False;False;False;False;False;;;;;False;False;False
169310;Single-family house;Single-family house;201459.0;False;;70147;;False;False;False;False;False;False;False;False;;;;;False;False;False
