TRIPID,PERSID,HHID,STOPS,TRIPNO,STARTHOUR,STARTIME,ARRHOUR,ARRTIME,CUMDIST,DEPHOUR,DEPTIME,DURATION,TRAVTIME,TRIPTIME,WAITIME,ORIGLGA,ORIGPLACE1,ORIGPLACE2,ORIGPURP1,ORIGPURP2,DESTLGA,DESTPLACE1,DESTPLACE2,DESTPURP1,DESTPURP2,TRIPPURP,LINKMODE,MODE1,MODE2,MODE3,MODE4,MODE5,MODE6,MODE7,MODE8,MODE9,DIST_GRP,DIST1,DIST2,DIST3,DIST4,DIST5,DIST6,DIST7,DIST8,DIST9,Time_Grp,TIME1,TIME2,TIME3,TIME4,TIME5,TIME6,TIME7,TIME8,TIME9,WDTRIPWGT,WETRIPWGT
Y12H0000101P01T01,Y12H0000101P01,Y12H0000101,1,1,8,525,9,545,7.45,17,1050,505,20,20,0,Whittlesea (C),Accommodation,Survey Home,At Home,At or Go Home,Whittlesea (C),Workplace,My Workplace,Work Related,Own Workplace,Work Related,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7 - 7.9,7.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 - 24,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.79,
Y12H0000101P01T02,Y12H0000101P01,Y12H0000101,1,2,17,1050,17,1075,7.45,N/A,N/A,N/A,25,25,0,Whittlesea (C),Workplace,My Workplace,Work Related,Own Workplace,Whittlesea (C),Accommodation,Survey Home,Go Home,At or Go Home,Work Related,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7 - 7.9,7.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25 - 29,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.79,
Y12H0000101P02T01,Y12H0000101P02,Y12H0000101,1,1,8,500,8,520,3.92,9,540,20,20,20,0,Whittlesea (C),Accommodation,Survey Home,At Home,At or Go Home,Whittlesea (C),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Pick-up or Drop-off Someone,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 - 3.9,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 - 24,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.98,
Y12H0000101P02T02,Y12H0000101P02,Y12H0000101,1,2,9,540,9,550,2.5,10,600,50,10,10,0,Whittlesea (C),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Whittlesea (C),Shops,Shopping Centre,Buy Something,Bought something,Buy Something,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 - 2.9,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10. - 14.,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.98,
Y12H0000101P02T03,Y12H0000101P02,Y12H0000101,1,3,10,600,10,610,2.55,14,890,280,10,10,0,Whittlesea (C),Shops,Shopping Centre,Buy Something,Bought something,Whittlesea (C),Accommodation,Survey Home,Go Home,At or Go Home,Buy Something,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 - 2.9,2.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10. - 14.,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.98,
Y12H0000101P02T04,Y12H0000101P02,Y12H0000101,1,4,14,890,15,910,3.92,15,940,30,20,20,0,Whittlesea (C),Accommodation,Survey Home,At Home,At or Go Home,Whittlesea (C),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Pick-up or Drop-off Someone,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 - 3.9,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 - 24,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.98,
Y12H0000101P02T05,Y12H0000101P02,Y12H0000101,1,5,15,940,15,950,3.92,N/A,N/A,N/A,10,10,0,Whittlesea (C),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Whittlesea (C),Accommodation,Survey Home,Go Home,At or Go Home,Pick-up or Drop-off Someone,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 - 3.9,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10. - 14.,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.98,
Y12H0000101P03T01,Y12H0000101P03,Y12H0000101,1,1,8,500,8,520,3.92,15,940,420,20,20,0,Whittlesea (C),Accommodation,Survey Home,At Home,At or Go Home,Whittlesea (C),Place of Education,Primary School,Education,At school,Education,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 - 3.9,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 - 24,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,121.61,
Y12H0000101P03T02,Y12H0000101P03,Y12H0000101,1,2,15,940,15,950,3.92,N/A,N/A,N/A,10,10,0,Whittlesea (C),Place of Education,Primary School,Education,At school,Whittlesea (C),Accommodation,Survey Home,Go Home,At or Go Home,Education,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 - 3.9,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10. - 14.,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,121.61,
Y12H0000101P04T01,Y12H0000101P04,Y12H0000101,1,1,8,500,8,520,3.92,15,940,420,20,20,0,Whittlesea (C),Accommodation,Survey Home,At Home,At or Go Home,Whittlesea (C),Place of Education,Primary School,Education,At school,Education,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 - 3.9,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 - 24,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.13,
Y12H0000101P04T02,Y12H0000101P04,Y12H0000101,1,2,15,940,15,950,3.92,N/A,N/A,N/A,10,10,0,Whittlesea (C),Place of Education,Primary School,Education,At school,Whittlesea (C),Accommodation,Survey Home,Go Home,At or Go Home,Education,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 - 3.9,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10. - 14.,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.13,
Y12H0000102P02T01,Y12H0000102P02,Y12H0000102,1,1,11,665,11,685,5.89,11,695,10,20,20,0,Whittlesea (C),Accommodation,Survey Home,At Home,At or Go Home,Banyule (C),Shops,Retail NEC,Buy Something,Bought something,Buy Something,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 - 5.9,5.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 - 24,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.31,
Y12H0000102P02T02,Y12H0000102P02,Y12H0000102,1,2,11,695,12,720,9.83,12,730,10,25,25,0,Banyule (C),Shops,Retail NEC,Buy Something,Bought something,Hume (C),Shops,Homeware,Buy Something,Bought something,Buy Something,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9 - 9.9,9.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25 - 29,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.31,
Y12H0000102P02T03,Y12H0000102P02,Y12H0000102,1,3,12,730,12,750,14.58,18,1100,350,20,20,0,Hume (C),Shops,Homeware,Buy Something,Bought something,Whittlesea (C),Accommodation,Survey Home,Go Home,At or Go Home,Buy Something,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14 - 14.9,14.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 - 24,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.31,
Y12H0000102P02T04,Y12H0000102P02,Y12H0000102,1,4,18,1100,18,1110,2.79,18,1110,0,10,10,0,Whittlesea (C),Accommodation,Survey Home,At Home,At or Go Home,Whittlesea (C),Transport Feature,Train Station,Pick-up or Drop-off Someone,Someone picked-up or delivered,Pick-up or Drop-off Someone,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 - 2.9,2.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10. - 14.,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.31,
