TRIPID,PERSID,HHID,STOPS,TRIPNO,STARTHOUR,STARTIME,ARRHOUR,ARRTIME,TRAVTIME,TRIPTIME,WAITIME,CUMDIST,ORIGPLACE2,ORIGPURP2,DESTPLACE2,DESTPURP2,TRIPPURP,LINKMODE,DIST_GRP,Time_Grp,TIME1
Y12H0000101P01T01,Y12H0000101P01,Y12H0000101,1,1,8,525,9,545,20,20,0,7.45,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,20 - 24,20
Y12H0000101P01T02,Y12H0000101P01,Y12H0000101,1,2,17,1050,17,1075,25,25,0,7.45,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,25 - 29,25
Y12H0000301P01T01,Y12H0000301P01,Y12H0000301,1,1,8,480,8,510,30,30,0,7.75,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,30 - 34,30
Y12H0000301P01T02,Y12H0000301P01,Y12H0000301,1,2,17,1060,18,1090,30,30,0,7.75,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,30 - 34,30
Y12H0000302P01T01,Y12H0000302P01,Y12H0000302,1,1,9,570,9,580,10,10,0,0.96,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,0 - 0.9,10. - 14.,10
Y12H0000302P01T02,Y12H0000302P01,Y12H0000302,1,2,17,1050,17,1065,15,15,0,0.96,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,0 - 0.9,15 - 19,15
Y12H0000318P01T01,Y12H0000318P01,Y12H0000318,1,1,8,480,8,510,30,30,0,14.16,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,14 - 14.9,30 - 34,30
Y12H0000318P01T02,Y12H0000318P01,Y12H0000318,1,2,18,1080,18,1110,30,30,0,14.16,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,14 - 14.9,30 - 34,30
Y12H0000318P02T01,Y12H0000318P02,Y12H0000318,1,1,8,480,8,500,20,20,0,8.4,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,20 - 24,20
Y12H0000318P02T02,Y12H0000318P02,Y12H0000318,1,2,17,1065,18,1095,30,30,0,8.4,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,30 - 34,30
Y12H0001032P03T01,Y12H0001032P03,Y12H0001032,1,1,8,520,8,535,15,15,0,8.22,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,15 - 19,15
Y12H0001032P03T02,Y12H0001032P03,Y12H0001032,1,2,21,1260,21,1275,15,15,0,8.22,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,15 - 19,15
Y12H0010408P02T01,Y12H0010408P02,Y12H0010408,1,1,9,585,10,605,20,20,0,1.24,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,1 - 1.9,20 - 24,20
Y12H0010408P02T02,Y12H0010408P02,Y12H0010408,1,2,18,1110,18,1125,15,15,0,1.24,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,1 - 1.9,15 - 19,15
Y12H0020230P02T01,Y12H0020230P02,Y12H0020230,1,1,9,540,9,565,25,25,0,14.64,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,14 - 14.9,25 - 29,25
Y12H0020230P02T02,Y12H0020230P02,Y12H0020230,1,2,17,1050,18,1080,30,30,0,14.64,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,14 - 14.9,30 - 34,30
Y12H0030116P01T01,Y12H0030116P01,Y12H0030116,1,1,8,480,9,540,60,60,0,29.06,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,25 - 29.9,60 - 69,60
Y12H0030116P01T02,Y12H0030116P01,Y12H0030116,1,2,19,1140,19,1190,50,50,0,29.06,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,25 - 29.9,50 - 54,50
Y12H0030226P03T01,Y12H0030226P03,Y12H0030226,1,1,8,480,9,555,75,75,0,45.33,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,45 - 49.9,70 - 79,75
Y12H0030226P03T02,Y12H0030226P03,Y12H0030226,1,2,17,1050,18,1120,70,70,0,45.33,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,45 - 49.9,70 - 79,70
Y12H0030320P02T01,Y12H0030320P02,Y12H0030320,1,1,9,540,9,585,45,45,0,17.0,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,17 - 17.9,45 - 49,45
Y12H0030320P02T02,Y12H0030320P02,Y12H0030320,1,2,17,1050,18,1110,60,60,0,17.0,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,17 - 17.9,60 - 69,60
Y12H0040130P01T01,Y12H0040130P01,Y12H0040130,1,1,8,525,9,545,20,20,0,5.01,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,20 - 24,20
Y12H0040130P01T02,Y12H0040130P01,Y12H0040130,1,2,18,1080,18,1095,15,15,0,5.01,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y12H0050439P01T01,Y12H0050439P01,Y12H0050439,1,1,12,720,12,740,20,20,0,22.11,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,20 - 24,20
Y12H0050439P01T02,Y12H0050439P01,Y12H0050439,1,2,18,1080,18,1105,25,25,0,22.11,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,25 - 29,25
Y12H0070232P01T01,Y12H0070232P01,Y12H0070232,1,1,8,480,8,510,30,30,0,15.24,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,15 - 15.9,30 - 34,30
Y12H0070232P01T02,Y12H0070232P01,Y12H0070232,1,2,17,1050,18,1080,30,30,0,15.24,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,15 - 15.9,30 - 34,30
Y12H0070503P01T01,Y12H0070503P01,Y12H0070503,1,1,8,525,9,540,15,15,0,17.21,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,17 - 17.9,15 - 19,15
Y12H0070503P01T02,Y12H0070503P01,Y12H0070503,1,2,18,1080,18,1100,20,20,0,17.21,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,17 - 17.9,20 - 24,20
Y12H0070525P02T01,Y12H0070525P02,Y12H0070525,1,1,8,490,8,530,40,40,0,32.93,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,30 - 34.9,40 - 44,40
Y12H0070525P02T02,Y12H0070525P02,Y12H0070525,1,2,17,1065,18,1110,45,45,0,32.93,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,30 - 34.9,45 - 49,45
Y12H0070536P03T01,Y12H0070536P03,Y12H0070536,1,1,8,480,8,510,30,30,0,11.04,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0070536P03T02,Y12H0070536P03,Y12H0070536,1,2,18,1110,19,1140,30,30,0,11.04,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0080139P01T01,Y12H0080139P01,Y12H0080139,1,1,8,510,8,525,15,15,0,5.54,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y12H0080139P01T02,Y12H0080139P01,Y12H0080139,1,2,17,1050,17,1065,15,15,0,5.54,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y12H0090133P04T01,Y12H0090133P04,Y12H0090133,1,1,8,510,9,540,30,30,0,19.73,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,19 - 19.9,30 - 34,30
Y12H0090133P04T02,Y12H0090133P04,Y12H0090133,1,2,17,1050,18,1080,30,30,0,19.73,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,19 - 19.9,30 - 34,30
Y12H0090331P02T01,Y12H0090331P02,Y12H0090331,1,1,8,480,9,540,60,60,0,20.54,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,60 - 69,60
Y12H0090331P02T02,Y12H0090331P02,Y12H0090331,1,2,19,1140,19,1180,40,40,0,20.54,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,40 - 44,40
Y12H0090404P01T01,Y12H0090404P01,Y12H0090404,1,1,10,600,10,615,15,15,0,8.5,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,15 - 19,15
Y12H0090404P01T02,Y12H0090404P01,Y12H0090404,1,2,17,1050,17,1070,20,20,0,8.5,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,20 - 24,20
Y12H0090412P01T01,Y12H0090412P01,Y12H0090412,1,1,9,565,9,570,5,5,0,1.28,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,1 - 1.9,5. - 9.,5
Y12H0090412P01T02,Y12H0090412P01,Y12H0090412,1,2,17,1060,17,1065,5,5,0,1.28,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,1 - 1.9,5. - 9.,5
Y12H0090501P02T01,Y12H0090501P02,Y12H0090501,1,1,8,510,8,520,10,10,0,3.44,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,10. - 14.,10
Y12H0090501P02T02,Y12H0090501P02,Y12H0090501,1,2,17,1060,17,1070,10,10,0,3.44,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,10. - 14.,10
Y12H0090508P01T01,Y12H0090508P01,Y12H0090508,1,1,9,555,9,570,15,15,0,4.62,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,4 - 4.9,15 - 19,15
Y12H0090508P01T02,Y12H0090508P01,Y12H0090508,1,2,18,1080,18,1095,15,15,0,4.62,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,4 - 4.9,15 - 19,15
Y12H0090511P01T01,Y12H0090511P01,Y12H0090511,1,1,8,480,9,540,60,60,0,14.35,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,14 - 14.9,60 - 69,60
Y12H0090511P01T02,Y12H0090511P01,Y12H0090511,1,2,18,1080,18,1100,20,20,0,14.35,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,14 - 14.9,20 - 24,20
Y12H0090533P03T01,Y12H0090533P03,Y12H0090533,1,1,8,510,9,540,30,30,0,11.34,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0090533P03T02,Y12H0090533P03,Y12H0090533,1,2,17,1050,18,1095,45,45,0,11.34,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,45 - 49,45
Y12H0110131P01T01,Y12H0110131P01,Y12H0110131,1,1,8,510,8,525,15,15,0,3.47,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,15 - 19,15
Y12H0110131P01T02,Y12H0110131P01,Y12H0110131,1,2,18,1080,18,1095,15,15,0,3.47,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,15 - 19,15
Y12H0110211P01T01,Y12H0110211P01,Y12H0110211,1,1,8,480,8,515,35,35,0,36.48,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,35 - 39.9,35 - 39,35
Y12H0110211P01T02,Y12H0110211P01,Y12H0110211,1,2,17,1065,18,1110,45,45,0,36.48,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,35 - 39.9,45 - 49,45
Y12H0110316P01T01,Y12H0110316P01,Y12H0110316,1,1,8,525,9,555,30,30,0,13.1,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,13 - 13.9,30 - 34,30
Y12H0110316P01T02,Y12H0110316P01,Y12H0110316,1,2,18,1095,18,1130,35,35,0,13.1,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,13 - 13.9,35 - 39,35
Y12H0110536P03T01,Y12H0110536P03,Y12H0110536,1,1,8,510,8,530,20,20,0,5.6,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,20 - 24,20
Y12H0110536P03T02,Y12H0110536P03,Y12H0110536,1,2,20,1210,20,1220,10,10,0,5.6,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,10. - 14.,10
Y12H0110536P04T01,Y12H0110536P04,Y12H0110536,1,1,10,630,11,660,30,30,0,8.11,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,30 - 34,30
Y12H0110536P04T02,Y12H0110536P04,Y12H0110536,1,2,19,1140,19,1160,20,20,0,8.11,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,20 - 24,20
Y12H0120138P02T01,Y12H0120138P02,Y12H0120138,1,1,8,490,8,505,15,15,0,5.35,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y12H0120138P02T02,Y12H0120138P02,Y12H0120138,1,2,17,1050,17,1065,15,15,0,5.35,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y12H0130224P01T01,Y12H0130224P01,Y12H0130224,1,1,8,495,8,510,15,15,0,8.88,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,15 - 19,15
Y12H0130224P01T02,Y12H0130224P01,Y12H0130224,1,2,18,1080,18,1100,20,20,0,8.88,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,20 - 24,20
Y12H0130510P02T01,Y12H0130510P02,Y12H0130510,1,1,9,555,9,595,40,40,0,14.88,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,14 - 14.9,40 - 44,40
Y12H0130510P02T02,Y12H0130510P02,Y12H0130510,1,2,17,1065,18,1105,40,40,0,14.88,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,14 - 14.9,40 - 44,40
Y12H0130541P02T01,Y12H0130541P02,Y12H0130541,1,1,8,525,9,570,45,45,0,26.94,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,25 - 29.9,45 - 49,45
Y12H0130541P02T02,Y12H0130541P02,Y12H0130541,1,2,17,1050,18,1080,30,30,0,26.94,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,25 - 29.9,30 - 34,30
Y12H0131032P01T01,Y12H0131032P01,Y12H0131032,1,1,8,510,8,520,10,10,0,2.71,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,2 - 2.9,10. - 14.,10
Y12H0131032P01T02,Y12H0131032P01,Y12H0131032,1,2,17,1065,17,1070,5,5,0,2.71,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,2 - 2.9,5. - 9.,5
Y12H0140108P01T01,Y12H0140108P01,Y12H0140108,1,1,8,510,9,540,30,30,0,17.64,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,17 - 17.9,30 - 34,30
Y12H0140108P01T02,Y12H0140108P01,Y12H0140108,1,2,20,1200,20,1225,25,25,0,17.64,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,17 - 17.9,25 - 29,25
Y12H0140108P02T01,Y12H0140108P02,Y12H0140108,1,1,8,525,9,550,25,25,0,10.96,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,10 - 10.9,25 - 29,25
Y12H0140108P02T02,Y12H0140108P02,Y12H0140108,1,2,18,1110,18,1130,20,20,0,10.96,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,10 - 10.9,20 - 24,20
Y12H0140111P03T01,Y12H0140111P03,Y12H0140111,1,1,11,698,12,722,24,24,0,10.03,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,10 - 10.9,20 - 24,24
Y12H0140111P03T02,Y12H0140111P03,Y12H0140111,1,2,21,1262,21,1277,15,15,0,10.03,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,10 - 10.9,15 - 19,15
Y12H0140122P01T01,Y12H0140122P01,Y12H0140122,2,1,8,490,9,550,60,60,0,34.17,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,30 - 34.9,60 - 69,50
Y12H0140122P01T02,Y12H0140122P01,Y12H0140122,2,2,19,1140,20,1200,60,60,0,34.17,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,30 - 34.9,60 - 69,10
Y12H0140517P01T01,Y12H0140517P01,Y12H0140517,1,1,8,520,9,570,50,50,0,23.19,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,50 - 54,50
Y12H0140517P01T02,Y12H0140517P01,Y12H0140517,1,2,18,1080,19,1140,60,60,0,23.19,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,60 - 69,60
Y12H0140533P02T01,Y12H0140533P02,Y12H0140533,1,1,8,510,8,535,25,25,0,8.88,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,25 - 29,25
Y12H0140533P02T02,Y12H0140533P02,Y12H0140533,1,2,17,1050,18,1080,30,30,0,8.88,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,30 - 34,30
Y12H0150226P01T01,Y12H0150226P01,Y12H0150226,1,1,8,480,9,540,60,60,0,40.97,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,40 - 44.9,60 - 69,60
Y12H0150226P01T02,Y12H0150226P01,Y12H0150226,1,2,17,1050,18,1110,60,60,0,40.97,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,40 - 44.9,60 - 69,60
Y12H0150339P02T01,Y12H0150339P02,Y12H0150339,1,1,9,540,9,570,30,30,0,11.07,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0150339P02T02,Y12H0150339P02,Y12H0150339,1,2,18,1085,18,1115,30,30,0,11.07,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0160115P01T01,Y12H0160115P01,Y12H0160115,1,1,8,480,8,495,15,15,0,5.01,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y12H0160115P01T02,Y12H0160115P01,Y12H0160115,1,2,18,1080,18,1095,15,15,0,5.01,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y12H0160115P03T01,Y12H0160115P03,Y12H0160115,1,1,8,510,9,540,30,30,0,11.25,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0160115P03T02,Y12H0160115P03,Y12H0160115,1,2,18,1080,18,1110,30,30,0,11.25,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0160310P01T01,Y12H0160310P01,Y12H0160310,1,1,9,540,9,585,45,45,0,15.81,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,15 - 15.9,45 - 49,45
Y12H0160310P01T02,Y12H0160310P01,Y12H0160310,1,2,18,1085,18,1130,45,45,0,15.81,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,15 - 15.9,45 - 49,45
Y12H0170115P01T01,Y12H0170115P01,Y12H0170115,1,1,8,480,8,510,30,30,0,9.65,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y12H0170115P01T02,Y12H0170115P01,Y12H0170115,1,2,18,1080,18,1105,25,25,0,9.65,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,25 - 29,25
Y12H0170322P02T01,Y12H0170322P02,Y12H0170322,1,1,8,525,9,540,15,15,0,9.47,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,15 - 19,15
Y12H0170322P02T02,Y12H0170322P02,Y12H0170322,1,2,18,1080,18,1095,15,15,0,9.47,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,15 - 19,15
Y12H0170323P01T01,Y12H0170323P01,Y12H0170323,1,1,8,495,8,525,30,30,0,11.21,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0170323P01T02,Y12H0170323P01,Y12H0170323,1,2,18,1080,18,1110,30,30,0,11.21,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0170438P01T01,Y12H0170438P01,Y12H0170438,1,1,9,540,9,570,30,30,0,9.23,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y12H0170438P01T02,Y12H0170438P01,Y12H0170438,1,2,18,1110,19,1140,30,30,0,9.23,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y12H0170510P02T01,Y12H0170510P02,Y12H0170510,1,1,8,510,9,540,30,30,0,11.28,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y12H0170510P02T02,Y12H0170510P02,Y12H0170510,1,2,18,1080,18,1110,30,30,0,11.28,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
