family,target,n_rows,n_households,n_timesteps,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,training_params,training_params_file,training_params_preview
rf,base_load,24000,250,96,rmse,0.5490018779459965,mae,0.30159375881908285,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 42}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\random_forest\models\base_load\training_params.txt,"family: rf
target: base_load
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  max_depth: None
  max_features: 0.7
  min_samples_leaf: 3
  n_estimators: 400
  n_jobs: -1
  random_state: 42
"
ridge,base_load,24000,250,96,rmse,0.5401115322607042,mae,0.30222663145896606,"{""alpha"": 100.0}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\ridge_regression\models\base_load\training_params.txt,"family: ridge
target: base_load
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  alpha: 100.0
"
xgb,base_load,24000,250,96,rmse,0.5258521432335531,mae,0.29567743850385764,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\xgboost\models\base_load\training_params.txt,"family: xgb
target: base_load
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  learning_rate: 0.05
  max_depth: 3
  n_estimators: 100
"
rf,ev1_status,9500,250,38,accuracy,0.9031578947368422,balanced_accuracy,0.8541613144642245,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""random_state"": 42}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\random_forest\models\ev1_status\training_params.txt,"family: rf
target: ev1_status
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  max_depth: 12
  max_features: sqrt
  min_samples_leaf: 1
  n_estimators: 200
  n_jobs: -1
  random_state: 42
"
ridge,ev1_status,9500,250,38,accuracy,0.8947368421052632,balanced_accuracy,0.8616518264533098,"{""alpha"": 0.01}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\ridge_regression\models\ev1_status\training_params.txt,"family: ridge
target: ev1_status
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  alpha: 0.01
"
xgb,ev1_status,9500,250,38,accuracy,0.9077894736842105,balanced_accuracy,0.8606656582357148,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\xgboost\models\ev1_status\training_params.txt,"family: xgb
target: ev1_status
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  learning_rate: 0.1
  max_depth: 3
  n_estimators: 300
"
rf,ev2_status,9500,250,38,accuracy,0.9125263157894736,balanced_accuracy,0.8595628608854429,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""random_state"": 42}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\random_forest\models\ev2_status\training_params.txt,"family: rf
target: ev2_status
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  max_depth: 12
  max_features: sqrt
  min_samples_leaf: 1
  n_estimators: 200
  n_jobs: -1
  random_state: 42
"
ridge,ev2_status,9500,250,38,accuracy,0.8947368421052632,balanced_accuracy,0.8476306716657175,"{""alpha"": 0.01}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\ridge_regression\models\ev2_status\training_params.txt,"family: ridge
target: ev2_status
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  alpha: 0.01
"
xgb,ev2_status,9500,250,38,accuracy,0.916,balanced_accuracy,0.8671736787039768,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\xgboost\models\ev2_status\training_params.txt,"family: xgb
target: ev2_status
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  learning_rate: 0.1
  max_depth: 3
  n_estimators: 300
"
rf,pv_gen,8000,200,40,rmse,0.34533314934146936,mae,0.14993525758311727,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""random_state"": 42}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\random_forest\models\pv_gen\training_params.txt,"family: rf
target: pv_gen
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  max_depth: 12
  max_features: sqrt
  min_samples_leaf: 1
  n_estimators: 200
  n_jobs: -1
  random_state: 42
"
ridge,pv_gen,8000,200,40,rmse,0.39504185906953515,mae,0.2044827015447587,"{""alpha"": 100.0}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\ridge_regression\models\pv_gen\training_params.txt,"family: ridge
target: pv_gen
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  alpha: 100.0
"
xgb,pv_gen,8000,200,40,rmse,0.32843809140419855,mae,0.13635133752369233,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 600}",C:\Users\maxfr\Desktop\Project Household Energy Optimization\training\xgboost\models\pv_gen\training_params.txt,"family: xgb
target: pv_gen
fold_ids: fold_1, fold_2, fold_3, fold_4, fold_5
params:
  learning_rate: 0.05
  max_depth: 5
  n_estimators: 600
"
