feature,importance,target,fold_id
timestep,0.028589645179936164,ev1_status,A
status,0.2373459748196781,ev1_status,A
time_sin,0.0026206338019885904,ev1_status,A
time_cos,0.016862171024842446,ev1_status,A
steps_in_current_state,0.018807567860779233,ev1_status,A
phase_id,0.06441948795975061,ev1_status,A
status_lag_1,0.09570133968366824,ev1_status,A
status_lag_1_is_pad,2.6147107153997487e-07,ev1_status,A
status_lag_2,0.12594767089113434,ev1_status,A
status_lag_2_is_pad,5.63082009870819e-07,ev1_status,A
status_lag_4,0.06041054370929658,ev1_status,A
status_lag_4_is_pad,3.0769303618507683e-07,ev1_status,A
status_lag_8,0.002520857198038415,ev1_status,A
status_lag_8_is_pad,1.77696462375174e-05,ev1_status,A
start1_earliest,0.0,ev1_status,A
end1_latest,0.0,ev1_status,A
start2_earliest,0.0,ev1_status,A
end2_latest,0.0,ev1_status,A
max_commute_steps_1,0.0,ev1_status,A
max_commute_steps_2,0.0,ev1_status,A
steps_to_start1_earliest,0.025975309394506874,ev1_status,A
steps_to_end1_latest,0.02717413219034307,ev1_status,A
steps_to_start2_earliest,0.02584405596564989,ev1_status,A
steps_to_end2_latest,0.020233842820948266,ev1_status,A
start1,0.031891532736732967,ev1_status,A
end1,0.013346739972551236,ev1_status,A
start2,0.047514208411194005,ev1_status,A
end2,0.008936024914216927,ev1_status,A
start1_observed,0.04018013855616398,ev1_status,A
end1_observed,0.010902495824902611,ev1_status,A
start2_observed,0.029621124069111857,ev1_status,A
end2_observed,0.010366355970039983,ev1_status,A
observed_window_length_1,0.010379900635682424,ev1_status,A
observed_window_length_2,0.019035460216354685,ev1_status,A
window_length_slack_1,0.006416699372074459,ev1_status,A
window_length_slack_2,0.018937184928058997,ev1_status,A
timestep,0.02829721473853974,ev1_status,B
status,0.23273100077722653,ev1_status,B
time_sin,0.002823282377959691,ev1_status,B
time_cos,0.017907501511964116,ev1_status,B
steps_in_current_state,0.01791483880375576,ev1_status,B
phase_id,0.06641566676970288,ev1_status,B
status_lag_1,0.10733409050585127,ev1_status,B
status_lag_1_is_pad,2.724265774942101e-07,ev1_status,B
status_lag_2,0.126454751079391,ev1_status,B
status_lag_2_is_pad,5.674008500188655e-07,ev1_status,B
status_lag_4,0.060889728175700694,ev1_status,B
status_lag_4_is_pad,1.5906386466297077e-07,ev1_status,B
status_lag_8,0.0027027083739985776,ev1_status,B
status_lag_8_is_pad,1.8272669803965795e-05,ev1_status,B
start1_earliest,0.0,ev1_status,B
end1_latest,0.0,ev1_status,B
start2_earliest,0.0,ev1_status,B
end2_latest,0.0,ev1_status,B
max_commute_steps_1,0.0,ev1_status,B
max_commute_steps_2,0.0,ev1_status,B
