target,params,score_next_value,score_sim_total_cost
base_load,"{""alpha"": 0.01}",0.6100273049135786,
base_load,"{""alpha"": 0.1}",0.6100283556701955,
base_load,"{""alpha"": 1.0}",0.6100390639376692,
base_load,"{""alpha"": 10.0}",0.6101522011250435,
base_load,"{""alpha"": 100.0}",0.6104001749223936,
pv_gen,"{""alpha"": 0.01}",0.3213732128986857,
pv_gen,"{""alpha"": 0.1}",0.321666245983404,
pv_gen,"{""alpha"": 1.0}",0.32136162264663615,
pv_gen,"{""alpha"": 10.0}",0.31828437076039984,
pv_gen,"{""alpha"": 100.0}",0.3171440263192105,
ev1_status,"{""alpha"": 0.01}",0.04166666666666663,
ev1_status,"{""alpha"": 0.1}",0.04166666666666663,
ev1_status,"{""alpha"": 1.0}",0.04166666666666663,
ev1_status,"{""alpha"": 10.0}",0.04166666666666663,
ev1_status,"{""alpha"": 100.0}",0.04166666666666663,
ev2_status,"{""alpha"": 0.01}",0.04166666666666663,
ev2_status,"{""alpha"": 0.1}",0.04166666666666663,
ev2_status,"{""alpha"": 1.0}",0.04166666666666663,
ev2_status,"{""alpha"": 10.0}",0.04166666666666663,
ev2_status,"{""alpha"": 100.0}",0.04166666666666663,
