feature,abs_coef,target,fold_id
timestep,5.511099571842853,ev1_status,A
status,0.3005004854373923,ev1_status,A
time_sin,0.12112255106506771,ev1_status,A
time_cos,0.07833470807630415,ev1_status,A
steps_in_current_state,0.0212964162242211,ev1_status,A
phase_id,0.1828003243803916,ev1_status,A
status_lag_1,0.08974817207508297,ev1_status,A
status_lag_1_is_pad,0.00844539988488451,ev1_status,A
status_lag_2,0.0790572384265434,ev1_status,A
status_lag_2_is_pad,0.008824423704669045,ev1_status,A
status_lag_4,0.05559811626884061,ev1_status,A
status_lag_4_is_pad,0.018349972632673284,ev1_status,A
status_lag_8,0.0297069509473812,ev1_status,A
status_lag_8_is_pad,0.023109013208883422,ev1_status,A
start1_earliest,0.0,ev1_status,A
end1_latest,0.0,ev1_status,A
start2_earliest,0.0,ev1_status,A
end2_latest,0.0,ev1_status,A
max_commute_steps_1,0.0,ev1_status,A
max_commute_steps_2,0.0,ev1_status,A
steps_to_start1_earliest,5.104175099880161,ev1_status,A
steps_to_end1_latest,1.239783051154737,ev1_status,A
steps_to_start2_earliest,2.6556118778395064,ev1_status,A
steps_to_end2_latest,2.734497509560734,ev1_status,A
start1,0.09487845064943212,ev1_status,A
end1,0.1003417540446474,ev1_status,A
start2,0.5432445900657795,ev1_status,A
end2,0.5004444591335618,ev1_status,A
start1_observed,0.4819210977240201,ev1_status,A
end1_observed,0.23012414947637794,ev1_status,A
start2_observed,0.7560747715121053,ev1_status,A
end2_observed,0.3369553406245589,ev1_status,A
observed_window_length_1,0.21910339144253352,ev1_status,A
observed_window_length_2,0.37883314122065354,ev1_status,A
window_length_slack_1,0.1519570857034189,ev1_status,A
window_length_slack_2,0.2328461622028961,ev1_status,A
timestep,5.546908408661263,ev1_status,B
status,0.3003259862213869,ev1_status,B
time_sin,0.12083451725717713,ev1_status,B
time_cos,0.07813699772573479,ev1_status,B
steps_in_current_state,0.021372347600614242,ev1_status,B
phase_id,0.18291460930611034,ev1_status,B
status_lag_1,0.0881640995224391,ev1_status,B
status_lag_1_is_pad,0.008276344102532305,ev1_status,B
status_lag_2,0.07857653278634465,ev1_status,B
status_lag_2_is_pad,0.009452163109745795,ev1_status,B
status_lag_4,0.055463860406031906,ev1_status,B
status_lag_4_is_pad,0.018304322410854956,ev1_status,B
status_lag_8,0.029290330065053893,ev1_status,B
status_lag_8_is_pad,0.02306432553761985,ev1_status,B
start1_earliest,0.0,ev1_status,B
end1_latest,0.0,ev1_status,B
start2_earliest,0.0,ev1_status,B
end2_latest,0.0,ev1_status,B
max_commute_steps_1,0.0,ev1_status,B
max_commute_steps_2,0.0,ev1_status,B
steps_to_start1_earliest,5.1111515554856775,ev1_status,B
steps_to_end1_latest,1.233396618257993,ev1_status,B
steps_to_start2_earliest,2.6752328187494983,ev1_status,B
steps_to_end2_latest,2.7218987555139713,ev1_status,B
start1,0.09420027170881312,ev1_status,B
end1,0.09958959417454823,ev1_status,B
start2,0.5453128440193467,ev1_status,B
end2,0.503284753207191,ev1_status,B
start1_observed,0.4814313835265764,ev1_status,B
end1_observed,0.2287267288872409,ev1_status,B
start2_observed,0.7580575845037454,ev1_status,B
end2_observed,0.33767569861033103,ev1_status,B
observed_window_length_1,0.21744284860981264,ev1_status,B
observed_window_length_2,0.38026658271203556,ev1_status,B
window_length_slack_1,0.15160452661635934,ev1_status,B
window_length_slack_2,0.23315601212839077,ev1_status,B
timestep,5.488172694618011,ev1_status,C
status,0.30002702095776473,ev1_status,C
time_sin,0.12107784240918347,ev1_status,C
time_cos,0.07840494902315283,ev1_status,C
steps_in_current_state,0.02144596081575259,ev1_status,C
phase_id,0.18472025363487823,ev1_status,C
status_lag_1,0.0884311299095971,ev1_status,C
status_lag_1_is_pad,0.008297691773378057,ev1_status,C
status_lag_2,0.07762117201908003,ev1_status,C
status_lag_2_is_pad,0.009160478979381883,ev1_status,C
status_lag_4,0.055344784158936004,ev1_status,C
status_lag_4_is_pad,0.018301416072858123,ev1_status,C
status_lag_8,0.029907626548187807,ev1_status,C
status_lag_8_is_pad,0.023106141238514972,ev1_status,C
start1_earliest,0.0,ev1_status,C
end1_latest,0.0,ev1_status,C
start2_earliest,0.0,ev1_status,C
end2_latest,0.0,ev1_status,C
max_commute_steps_1,0.0,ev1_status,C
max_commute_steps_2,0.0,ev1_status,C
steps_to_start1_earliest,5.068558141545915,ev1_status,C
steps_to_end1_latest,1.2413355643843613,ev1_status,C
steps_to_start2_earliest,2.6679058431319262,ev1_status,C
steps_to_end2_latest,2.728806114522657,ev1_status,C
start1,0.09553929299014124,ev1_status,C
end1,0.10085098302505192,ev1_status,C
start2,0.5551604142779284,ev1_status,C
end2,0.5136659209875228,ev1_status,C
start1_observed,0.4834071524809515,ev1_status,C
end1_observed,0.22943600456305793,ev1_status,C
start2_observed,0.7670311793473471,ev1_status,C
end2_observed,0.3423182453581508,ev1_status,C
observed_window_length_1,0.218121547087861,ev1_status,C
observed_window_length_2,0.38533323059296704,ev1_status,C
window_length_slack_1,0.15206813842284636,ev1_status,C
window_length_slack_2,0.23566607124761219,ev1_status,C
timestep,5.5875327112520585,ev1_status,D
status,0.3006072481652852,ev1_status,D
time_sin,0.12071299233350818,ev1_status,D
time_cos,0.07808524181153786,ev1_status,D
steps_in_current_state,0.021610579194424957,ev1_status,D
phase_id,0.1820048839914086,ev1_status,D
status_lag_1,0.08918332267754163,ev1_status,D
status_lag_1_is_pad,0.008389213847209073,ev1_status,D
status_lag_2,0.07827220052687948,ev1_status,D
status_lag_2_is_pad,0.00902932420657309,ev1_status,D
status_lag_4,0.05475851339341838,ev1_status,D
status_lag_4_is_pad,0.018155887628967467,ev1_status,D
status_lag_8,0.029464780396960582,ev1_status,D
status_lag_8_is_pad,0.023097463212236064,ev1_status,D
start1_earliest,0.0,ev1_status,D
end1_latest,0.0,ev1_status,D
start2_earliest,0.0,ev1_status,D
end2_latest,0.0,ev1_status,D
max_commute_steps_1,0.0,ev1_status,D
max_commute_steps_2,0.0,ev1_status,D
steps_to_start1_earliest,5.1255826430911755,ev1_status,D
steps_to_end1_latest,1.2302899177173126,ev1_status,D
steps_to_start2_earliest,2.6953665661520954,ev1_status,D
steps_to_end2_latest,2.7240900323168726,ev1_status,D
start1,0.09393856284386166,ev1_status,D
end1,0.1002743208909072,ev1_status,D
start2,0.540449639797022,ev1_status,D
end2,0.4993588033390864,ev1_status,D
start1_observed,0.4812935086876693,ev1_status,D
end1_observed,0.22885278321115177,ev1_status,D
start2_observed,0.7542583705506059,ev1_status,D
end2_observed,0.33644278838645514,ev1_status,D
observed_window_length_1,0.2176800692133154,ev1_status,D
observed_window_length_2,0.3784184562108594,ev1_status,D
window_length_slack_1,0.15114856196283774,ev1_status,D
window_length_slack_2,0.2325161939379333,ev1_status,D
timestep,5.60805681505024,ev1_status,E
status,0.29985399157250586,ev1_status,E
time_sin,0.12000240250327494,ev1_status,E
time_cos,0.0775627822781414,ev1_status,E
steps_in_current_state,0.021277824718319998,ev1_status,E
phase_id,0.18299554555946332,ev1_status,E
status_lag_1,0.08897962282896887,ev1_status,E
status_lag_1_is_pad,0.008368860853049283,ev1_status,E
status_lag_2,0.08020798410390344,ev1_status,E
status_lag_2_is_pad,0.009448585781628585,ev1_status,E
status_lag_4,0.05599246119446818,ev1_status,E
status_lag_4_is_pad,0.018354221706596296,ev1_status,E
status_lag_8,0.028970112476523674,ev1_status,E
status_lag_8_is_pad,0.022909918186551387,ev1_status,E
start1_earliest,0.0,ev1_status,E
end1_latest,0.0,ev1_status,E
start2_earliest,0.0,ev1_status,E
end2_latest,0.0,ev1_status,E
max_commute_steps_1,0.0,ev1_status,E
max_commute_steps_2,0.0,ev1_status,E
steps_to_start1_earliest,5.109117849143224,ev1_status,E
steps_to_end1_latest,1.2294980128931208,ev1_status,E
steps_to_start2_earliest,2.7194789948124742,ev1_status,E
steps_to_end2_latest,2.7075666566101773,ev1_status,E
start1,0.09499424057491712,ev1_status,E
end1,0.10055709295078415,ev1_status,E
start2,0.5493076962302569,ev1_status,E
end2,0.5075483575359461,ev1_status,E
start1_observed,0.48200946722847954,ev1_status,E
end1_observed,0.22744250580055883,ev1_status,E
start2_observed,0.761356908367754,ev1_status,E
end2_observed,0.3393083442711915,ev1_status,E
observed_window_length_1,0.21644349944550123,ev1_status,E
observed_window_length_2,0.3818864133258399,ev1_status,E
window_length_slack_1,0.15038441874582295,ev1_status,E
window_length_slack_2,0.2349055066077462,ev1_status,E
