feature,abs_coef,target,fold_id
timestep,0.011020030350801534,pv_gen,A
pv_gen,0.2253940725731275,pv_gen,A
time_sin,0.03720871859113651,pv_gen,A
time_cos,0.04924057705209375,pv_gen,A
pv_lag_1,0.18912153514651842,pv_gen,A
pv_lag_1_is_pad,0.01934817216002264,pv_gen,A
pv_lag_2,0.16345436931006785,pv_gen,A
pv_lag_2_is_pad,0.022979630920208185,pv_gen,A
pv_lag_4,0.054781661177703396,pv_gen,A
pv_lag_4_is_pad,0.005949840105575079,pv_gen,A
pv_lag_8,0.0659621166806385,pv_gen,A
pv_lag_8_is_pad,0.00793464286246344,pv_gen,A
pv_lag_12,0.009860324427711705,pv_gen,A
pv_lag_12_is_pad,0.021894594265995156,pv_gen,A
pv_ma_2,0.21070615925123337,pv_gen,A
pv_ma_4,0.1329075832637488,pv_gen,A
pv_ma_8,0.012580561923906957,pv_gen,A
pv_ma_16,0.02748306914183908,pv_gen,A
pv_std_4,0.03837076405372782,pv_gen,A
pv_std_8,0.09334723809547436,pv_gen,A
pv_delta_1,0.13396900067606787,pv_gen,A
pv_delta_2,0.09507136891038712,pv_gen,A
pv_accel,0.0313572690776391,pv_gen,A
steps_to_daylight_start,0.015522713099071965,pv_gen,A
steps_to_daylight_end,0.014863910739896829,pv_gen,A
timestep,0.011267278242307305,pv_gen,B
pv_gen,0.2302376221042435,pv_gen,B
time_sin,0.03820519325201909,pv_gen,B
time_cos,0.05005669364009413,pv_gen,B
pv_lag_1,0.19307001239478183,pv_gen,B
pv_lag_1_is_pad,0.01930143946338067,pv_gen,B
pv_lag_2,0.16668674896687394,pv_gen,B
pv_lag_2_is_pad,0.022937780073502737,pv_gen,B
pv_lag_4,0.052985461097640275,pv_gen,B
pv_lag_4_is_pad,0.005335053197147335,pv_gen,B
pv_lag_8,0.06948137910066692,pv_gen,B
pv_lag_8_is_pad,0.00821296107714199,pv_gen,B
pv_lag_12,0.011045961925310353,pv_gen,B
pv_lag_12_is_pad,0.022538004626619243,pv_gen,B
pv_ma_2,0.21508809821963037,pv_gen,B
pv_ma_4,0.13464443148479419,pv_gen,B
pv_ma_8,0.01338907031613279,pv_gen,B
pv_ma_16,0.028115639223071382,pv_gen,B
pv_std_4,0.03980484295632631,pv_gen,B
pv_std_8,0.09699288927419526,pv_gen,B
pv_delta_1,0.13832048567441452,pv_gen,B
pv_delta_2,0.09848877675561844,pv_gen,B
pv_accel,0.0323376872507068,pv_gen,B
steps_to_daylight_start,0.01585208935990527,pv_gen,B
steps_to_daylight_end,0.015211259375845545,pv_gen,B
timestep,0.011246239964532593,pv_gen,C
pv_gen,0.2275865808177915,pv_gen,C
time_sin,0.03765750986545578,pv_gen,C
time_cos,0.05086669383640215,pv_gen,C
pv_lag_1,0.19084302869234454,pv_gen,C
pv_lag_1_is_pad,0.019379167983239045,pv_gen,C
pv_lag_2,0.1647750156285681,pv_gen,C
pv_lag_2_is_pad,0.022999948974644007,pv_gen,C
pv_lag_4,0.056852970319417315,pv_gen,C
pv_lag_4_is_pad,0.006166092092666047,pv_gen,C
pv_lag_8,0.06523912741776611,pv_gen,C
pv_lag_8_is_pad,0.0074742882065805556,pv_gen,C
pv_lag_12,0.010517321156439847,pv_gen,C
pv_lag_12_is_pad,0.02263485720247631,pv_gen,C
pv_ma_2,0.21268744341896875,pv_gen,C
pv_ma_4,0.13239449298675904,pv_gen,C
pv_ma_8,0.010975447360688478,pv_gen,C
pv_ma_16,0.02824587333239328,pv_gen,C
pv_std_4,0.04026398672491179,pv_gen,C
pv_std_8,0.0938193212421617,pv_gen,C
pv_delta_1,0.1353278832623465,pv_gen,C
pv_delta_2,0.09632867682196204,pv_gen,C
pv_accel,0.03149213731007214,pv_gen,C
steps_to_daylight_start,0.015846132740653184,pv_gen,C
steps_to_daylight_end,0.015125268968669812,pv_gen,C
timestep,0.010975618994730632,pv_gen,D
pv_gen,0.2176420190897878,pv_gen,D
time_sin,0.036619069190988285,pv_gen,D
time_cos,0.04982570231544397,pv_gen,D
pv_lag_1,0.182409733864149,pv_gen,D
pv_lag_1_is_pad,0.019714814834319923,pv_gen,D
pv_lag_2,0.15785785011773126,pv_gen,D
pv_lag_2_is_pad,0.02337480422274228,pv_gen,D
pv_lag_4,0.05969667275834367,pv_gen,D
pv_lag_4_is_pad,0.0073749438411209725,pv_gen,D
pv_lag_8,0.05269466496237082,pv_gen,D
pv_lag_8_is_pad,0.005414215393158018,pv_gen,D
pv_lag_12,0.014906457584719542,pv_gen,D
pv_lag_12_is_pad,0.02382275990319383,pv_gen,D
pv_ma_2,0.20359248556499973,pv_gen,D
pv_ma_4,0.1212138607436196,pv_gen,D
pv_ma_8,0.00407952297354902,pv_gen,D
pv_ma_16,0.032043430997702904,pv_gen,D
pv_std_4,0.03742570383580165,pv_gen,D
pv_std_8,0.09108651030670549,pv_gen,D
pv_delta_1,0.1268531188972148,pv_gen,D
pv_delta_2,0.0885264019528418,pv_gen,D
pv_accel,0.031091481259015417,pv_gen,D
steps_to_daylight_start,0.015371221889890855,pv_gen,D
steps_to_daylight_end,0.014696176389972358,pv_gen,D
