generation,best_net_cost,avg_net_cost,worst_net_cost
1,10.805858686835986,10.814574954273638,10.833736540265928
2,10.805858686835986,10.812328970178015,10.822198487546483
3,10.803841551256525,10.81032498947143,10.819517776291717
4,10.801728372031718,10.808399083417143,10.815584185681816
5,10.801728372031718,10.80877456419248,10.820035908094185
6,10.801728372031718,10.808383222380606,10.817932114114154
7,10.801728372031718,10.807089332535623,10.815668907450037
8,10.801728372031718,10.806893669653208,10.815457945675904
9,10.801728372031718,10.806924336165402,10.814283110674433
10,10.801728372031718,10.80638681745293,10.812258959824426
11,10.801728372031718,10.80686804784407,10.814393975170177
12,10.801728372031718,10.80653707389243,10.812475576813483
13,10.801728372031718,10.80806647906897,10.818707007208939
14,10.799514114717853,10.807143978091352,10.815608911076861
15,10.799514114717853,10.808240705117539,10.833982942362756
16,10.799514114717853,10.806603384241194,10.814802847838743
17,10.799514114717853,10.80581933697473,10.81257732800574
18,10.799514114717853,10.806380353983124,10.815047094404635
19,10.799514114717853,10.806000295541514,10.817620838432664
20,10.799514114717853,10.808012693916416,10.817245499935202
21,10.799514114717853,10.805913979551372,10.81545113846697
22,10.799514114717853,10.807122970638792,10.82207547558155
23,10.799514114717853,10.807413373340808,10.815413564739355
24,10.799514114717853,10.805572486681095,10.827849861731355
25,10.799514114717853,10.80622570613958,10.816377801360368
