net_cost,n_days,day_set
10.799514114717853,80,180931_2023-07-17;157904_2024-08-03;187422_2024-01-22;191628_2023-09-17;100707_2024-02-28;167494_2024-09-03;172510_2023-12-24;146624_2023-06-05;133996_2023-04-16;176350_2024-06-02;108795_2024-04-08;139410_2023-07-23;171530_2023-02-06;139410_2023-01-30;100354_2024-01-25;139410_2023-06-11;140649_2024-08-31;121500_2023-01-18;112377_2023-06-27;170013_2024-07-11;169310_2023-02-16;155209_2024-12-15;172510_2023-12-27;187422_2023-06-27;188208_2023-05-05;128843_2023-04-03;106793_2024-07-22;133996_2023-05-15;116320_2023-04-03;152601_2024-02-14;187422_2024-08-03;163595_2024-01-29;138414_2024-10-12;140649_2024-03-29;140211_2023-06-26;157904_2024-04-24;180146_2024-02-25;172510_2023-07-12;121500_2024-12-30;188208_2024-07-03;192815_2023-09-01;121500_2024-10-06;133165_2024-07-23;188131_2024-06-06;136407_2024-11-28;152601_2023-07-22;184973_2024-05-28;138414_2024-05-05;163329_2024-10-23;176350_2023-11-19;105366_2024-10-20;118984_2024-11-14;110260_2023-04-26;151740_2023-02-01;191701_2023-03-07;172262_2024-12-15;120517_2023-04-01;165786_2023-09-28;161573_2024-04-27;160216_2023-12-31;189416_2023-07-27;123129_2023-04-04;160216_2024-12-14;102016_2024-10-30;188208_2024-07-19;121500_2024-11-28;185196_2024-06-10;123129_2023-05-25;138414_2024-10-16;188131_2023-03-30;130253_2023-08-01;132256_2024-11-13;133996_2024-11-03;187422_2023-05-15;106793_2024-04-29;142975_2023-09-12;106793_2023-02-13;167494_2023-05-15;140649_2024-05-14;127225_2023-06-10
10.800532258007099,80,174968_2023-12-18;180931_2023-07-17;130253_2024-06-27;188208_2024-07-09;184973_2023-01-29;139410_2023-07-23;118984_2023-08-06;163595_2024-02-10;172510_2024-11-06;152601_2023-11-30;166084_2024-03-17;132256_2024-06-22;113377_2024-06-02;116320_2024-06-30;180146_2023-09-30;188093_2023-04-13;142999_2023-12-14;152601_2024-02-14;180146_2023-08-15;164897_2024-08-03;105366_2023-11-07;130253_2023-07-13;172510_2023-01-04;169310_2024-08-20;133996_2023-11-19;151740_2023-10-31;179723_2024-06-03;189416_2024-06-18;188208_2023-10-18;127524_2023-05-24;163595_2023-03-01;146624_2024-07-04;165786_2024-09-15;191701_2024-11-17;106298_2024-02-26;146624_2023-11-23;115937_2024-07-14;184973_2023-08-16;163329_2024-10-23;100354_2024-07-13;163329_2024-11-07;151740_2023-02-01;163595_2024-01-05;127524_2023-07-31;161573_2024-12-03;133996_2024-05-31;123129_2023-04-04;168165_2024-05-24;165786_2024-04-16;133165_2024-08-30;102016_2024-12-15;191628_2023-09-13;191628_2024-03-03;121500_2024-11-28;147147_2023-05-23;180146_2024-03-15;163329_2023-07-15;188131_2024-07-21;123129_2023-12-05;144492_2023-11-04;144492_2024-12-10;116320_2023-12-26;188208_2024-08-31;116320_2024-04-21;172510_2023-06-08;179723_2024-12-08;188131_2024-10-08;138414_2023-10-04;121555_2023-11-04;176350_2024-09-21;127225_2023-06-10;188131_2024-11-20;188208_2024-04-06;171530_2024-02-12;127524_2024-07-23;118984_2024-07-20;188131_2023-01-16;183144_2023-06-04;151683_2024-03-04;176350_2023-01-30
10.80133173371863,80,180931_2023-07-17;199888_2024-10-09;146624_2023-06-05;113377_2023-06-01;121555_2024-05-17;133996_2023-04-16;174968_2023-08-13;104481_2023-11-07;139410_2023-01-30;121555_2023-06-18;139410_2023-06-11;140649_2024-08-31;198650_2024-05-26;169310_2023-02-16;107448_2023-06-07;184973_2024-01-11;128843_2023-04-03;188093_2023-10-03;189416_2023-09-14;116320_2023-04-03;185196_2023-10-11;147147_2023-04-08;113377_2024-07-13;140211_2023-06-26;168165_2023-05-30;172510_2023-07-12;128843_2024-04-09;105366_2023-03-21;140649_2023-12-05;147049_2023-10-09;108795_2023-07-26;147147_2024-02-05;121500_2024-10-06;133996_2023-09-25;136407_2024-11-28;110260_2024-12-04;100354_2024-04-20;120517_2023-02-20;104481_2024-09-15;113377_2024-08-17;100707_2023-10-27;123129_2023-02-28;172262_2024-12-15;146624_2023-06-01;192815_2024-08-19;120517_2023-04-01;128843_2024-09-22;166206_2023-01-26;142999_2024-11-06;147147_2023-12-30;189416_2023-07-27;187422_2023-05-07;199888_2023-04-19;104481_2024-10-04;188093_2023-05-25;125463_2024-08-15;132967_2024-09-15;100354_2024-07-03;199888_2024-07-13;100354_2023-09-19;108795_2024-01-30;100707_2023-02-25;191628_2024-09-22;130253_2023-08-01;132256_2024-11-13;174968_2024-01-03;151683_2023-04-20;167494_2023-11-21;168165_2023-11-19;107448_2023-08-21;167494_2023-05-15;115937_2024-09-05;140649_2024-05-14;113377_2024-08-01;152601_2024-04-07;139410_2024-03-11;184973_2023-03-03;169310_2023-11-06;127524_2024-07-23;199888_2024-08-19
10.801694112586151,80,174968_2023-12-18;169310_2024-08-29;125463_2023-06-21;192815_2024-05-24;133996_2024-04-14;167494_2024-12-27;184973_2023-01-29;139410_2023-07-23;118984_2023-08-06;152601_2023-11-30;151683_2023-11-20;166084_2024-03-17;132256_2024-06-22;176350_2023-03-01;116320_2024-06-30;187422_2023-02-18;107448_2024-09-13;180146_2023-09-30;160216_2024-02-28;142999_2023-12-14;189416_2024-01-18;142975_2023-11-24;180146_2023-08-15;105366_2023-11-07;130253_2023-07-13;155209_2023-06-29;170013_2024-04-06;151683_2023-12-26;133996_2023-11-19;151740_2024-03-15;179723_2024-06-03;170013_2024-08-30;184973_2023-04-12;189416_2024-06-18;188208_2023-10-18;133996_2024-10-08;163595_2023-03-01;165786_2024-10-05;191701_2024-11-17;106298_2024-02-26;136407_2023-04-17;140211_2024-01-16;108795_2023-01-26;151683_2023-09-01;163329_2024-11-07;151740_2023-02-01;123129_2024-10-15;133996_2024-05-31;152601_2023-01-23;123129_2023-04-04;165786_2024-04-16;191628_2023-09-13;183144_2024-06-10;147147_2023-05-23;142999_2023-08-01;180146_2024-03-15;112377_2024-09-28;163329_2023-07-15;188131_2024-07-21;179723_2023-04-10;144492_2023-11-04;144492_2024-12-10;108517_2024-10-18;116320_2024-04-21;172510_2023-06-08;133996_2023-02-02;188131_2024-10-08;138414_2023-10-04;121555_2023-11-04;176350_2024-09-21;127225_2023-06-10;172262_2024-11-02;188208_2024-04-06;108517_2024-09-02;171530_2024-02-12;191628_2023-11-14;188131_2023-01-16;183144_2023-06-04;151683_2024-03-04;176350_2023-01-30
10.801728372031718,80,191628_2024-02-04;140211_2024-01-04;128843_2024-10-09;107448_2024-07-22;146624_2023-06-05;180931_2024-12-26;108795_2024-04-08;180931_2023-01-07;133996_2024-08-17;100354_2024-01-25;168165_2024-04-17;112377_2023-06-27;172262_2024-04-14;128843_2023-04-03;133996_2024-01-15;152601_2024-02-14;106793_2024-07-23;140649_2024-10-17;166206_2023-06-25;163595_2024-01-29;115937_2024-12-05;157904_2024-04-24;118984_2024-09-30;106793_2023-02-28;121500_2024-12-30;188208_2024-07-03;127524_2023-03-27;192815_2023-09-01;188208_2023-10-18;106793_2023-12-04;133165_2024-07-23;136407_2024-11-28;133996_2024-09-03;152601_2023-12-12;165786_2024-06-05;118984_2024-08-15;146624_2023-11-23;179723_2023-02-28;160431_2024-01-27;163329_2024-10-23;185196_2024-09-07;118984_2024-11-14;142975_2023-02-20;115937_2023-05-08;174968_2023-02-02;146624_2024-11-26;142975_2024-12-08;146624_2023-05-13;165786_2023-09-28;160216_2023-12-31;139410_2024-10-17;129071_2023-03-04;191628_2023-11-25;133165_2024-08-30;102016_2024-10-30;191628_2023-09-13;164897_2024-07-05;121500_2024-11-28;180146_2024-08-28;163329_2023-07-15;121500_2023-03-04;130253_2023-06-02;176350_2024-07-01;155209_2024-05-31;184973_2023-08-18;160431_2023-05-26;176350_2024-09-21;127225_2023-06-10;112377_2024-10-02;188131_2024-11-20;176350_2023-03-20;174968_2023-06-08;120517_2023-08-26;139410_2024-03-11;183144_2023-02-17;184973_2023-03-03;127524_2024-07-23;191701_2023-08-19;151683_2024-03-04;100707_2024-03-18
10.801743583700459,80,189416_2024-08-03;120517_2023-04-21;166084_2023-09-06;118984_2023-11-04;130253_2024-06-27;100707_2024-09-03;163595_2023-04-16;130253_2024-02-05;132256_2023-11-16;188131_2023-02-07;146624_2023-08-05;133996_2024-08-17;106298_2023-11-20;132256_2023-09-24;108517_2024-06-13;163595_2023-07-07;136407_2023-03-22;133996_2023-03-31;116320_2023-04-03;163329_2024-01-29;188093_2024-01-26;142999_2023-07-08;157904_2024-04-24;180146_2023-05-13;168165_2023-05-30;105366_2023-11-07;139410_2024-08-09;165786_2023-04-13;163817_2024-03-29;128843_2023-01-20;108517_2023-03-02;130253_2024-12-12;123129_2024-08-22;105366_2023-09-27;140649_2023-05-13;188208_2024-10-11;179723_2023-11-10;179723_2023-02-28;113377_2023-12-31;157904_2024-06-29;133996_2023-05-16;180146_2023-02-21;127524_2023-07-31;115937_2023-05-08;140211_2023-04-03;146624_2023-05-13;198650_2023-11-27;136407_2023-10-21;160216_2023-02-12;139410_2024-10-17;168165_2024-05-09;140649_2024-02-04;169310_2024-12-26;152601_2023-11-13;169310_2024-06-07;198650_2024-01-04;169310_2023-08-19;130253_2023-12-29;189416_2023-03-27;185196_2024-02-06;127524_2024-12-21;163329_2023-09-22;184973_2023-11-03;133996_2024-11-03;128843_2024-03-13;144492_2023-11-04;130253_2024-12-26;139410_2023-05-16;189416_2024-11-23;184973_2023-08-23;176350_2024-09-21;127225_2024-02-27;174968_2023-06-08;120517_2023-08-26;166084_2024-04-22;172510_2024-09-22;132256_2023-07-08;199888_2023-04-11;188131_2023-01-16;188208_2023-10-02
10.802289629515943,80,180931_2023-07-17;157904_2024-08-03;100707_2024-02-28;167494_2024-09-03;151740_2023-08-16;133996_2023-04-16;176350_2024-06-02;179723_2023-05-16;139410_2023-07-23;171530_2023-02-06;139410_2023-01-30;102016_2024-07-15;139410_2023-06-11;118984_2023-01-19;140649_2024-08-31;169310_2023-02-16;155209_2024-12-15;100354_2023-11-29;188208_2023-05-05;128843_2023-04-03;127225_2024-08-09;152601_2024-02-14;163595_2024-01-29;138414_2024-10-12;140649_2024-03-29;140211_2023-06-26;118984_2024-07-02;180146_2024-02-25;172510_2023-02-09;172510_2023-07-12;121500_2024-12-30;128843_2024-04-09;185196_2024-05-07;192815_2023-09-01;121500_2024-10-06;142999_2024-05-01;188131_2024-06-06;136407_2024-11-28;132967_2024-06-13;152601_2023-07-22;184973_2024-05-28;189416_2024-08-11;168165_2024-12-14;100707_2023-10-27;163329_2024-10-23;176350_2023-11-19;118984_2024-11-14;110260_2023-04-26;151740_2023-02-01;191701_2023-03-07;172262_2024-12-15;120517_2023-04-01;147147_2023-12-30;160216_2023-12-31;189416_2023-07-27;123129_2023-04-04;151683_2024-08-29;102016_2024-10-30;188208_2024-07-19;121500_2024-11-28;144492_2023-07-07;185196_2024-06-10;138414_2024-10-16;100707_2023-02-25;160431_2023-07-22;188131_2023-03-30;130253_2023-08-01;132256_2024-11-13;179723_2024-09-06;157904_2024-10-30;106793_2024-04-29;142975_2023-09-12;106793_2023-02-13;167494_2023-05-15;140649_2024-05-14;127225_2023-06-10;107448_2024-05-27;118984_2024-12-04;100707_2024-09-01;130253_2024-11-21
10.802294099936718,80,100707_2024-02-28;167494_2024-09-03;151740_2023-08-16;188208_2024-07-09;121555_2024-05-17;166206_2023-09-17;138414_2024-09-12;139410_2023-07-23;133996_2024-08-17;140649_2024-08-31;130253_2023-04-16;169310_2023-02-16;192815_2024-10-24;188208_2023-05-05;104481_2024-07-29;163595_2024-01-29;138414_2024-10-12;140649_2024-03-29;180931_2024-04-24;118984_2024-07-02;115937_2023-10-22;118984_2023-05-31;100354_2023-01-09;188208_2024-07-03;188131_2024-10-09;151740_2023-10-31;192815_2023-09-01;105366_2024-04-04;199888_2024-08-25;188208_2024-05-20;127524_2023-05-24;188131_2024-06-06;161573_2024-09-27;136407_2024-10-15;199888_2023-07-10;171530_2024-09-04;127524_2023-02-16;183144_2024-07-18;161573_2024-01-08;121500_2024-12-07;147147_2023-01-02;176350_2023-11-19;105366_2024-12-25;199888_2024-05-04;110260_2023-04-26;187422_2024-03-08;184973_2023-12-26;140649_2024-05-10;147147_2023-12-30;160216_2023-12-31;142975_2024-03-14;151683_2024-08-29;142975_2024-10-23;185196_2024-06-10;191628_2024-11-21;160431_2023-07-22;130253_2024-12-23;130253_2023-08-01;132256_2024-11-13;112377_2023-12-21;133996_2024-11-03;179723_2024-09-06;116320_2024-04-13;121500_2024-03-29;161573_2023-11-07;163595_2023-04-02;155209_2023-11-22;172510_2023-06-08;106793_2023-02-13;132967_2023-02-11;167494_2023-05-15;163329_2024-02-21;155209_2023-11-18;188131_2024-11-20;142975_2024-01-10;115937_2023-08-03;118984_2024-12-04;125463_2024-07-07;100707_2024-09-01;130253_2024-11-21
10.802306061616497,80,180931_2023-07-17;187422_2024-01-22;100707_2024-02-28;167494_2024-09-03;172510_2023-12-24;180931_2024-05-23;133996_2023-04-16;130253_2024-02-05;171530_2023-02-06;160431_2024-01-18;144492_2023-12-01;133996_2024-08-17;100354_2024-01-25;118984_2024-10-30;132256_2023-09-24;155209_2024-12-15;187422_2023-06-27;188131_2023-01-26;163595_2023-07-07;136407_2023-03-22;133996_2023-03-31;106793_2024-07-22;133996_2023-05-15;163329_2024-01-29;105366_2023-05-29;107448_2023-04-24;163595_2023-06-13;187422_2024-08-03;163595_2024-01-29;133165_2024-03-04;180146_2023-05-13;165786_2023-04-13;128843_2023-01-20;169310_2024-01-08;147049_2023-12-19;160216_2024-04-01;188131_2024-06-06;123129_2024-09-17;170013_2023-04-03;184973_2024-05-28;138414_2024-05-05;179723_2023-11-10;163329_2024-10-23;151683_2024-10-16;180146_2023-02-21;151740_2023-02-01;191701_2023-03-07;198650_2023-11-27;161573_2024-04-27;160216_2023-02-12;125463_2024-09-22;160216_2023-12-31;189416_2023-07-27;166084_2023-12-17;168165_2024-05-09;140649_2024-02-04;102016_2024-10-30;188208_2024-07-19;121500_2024-11-28;130253_2023-12-29;189416_2023-03-27;185196_2024-02-06;133996_2024-11-03;189416_2023-02-05;140649_2024-03-06;187422_2023-05-15;127524_2024-04-04;128843_2024-03-13;188131_2024-05-07;164897_2023-06-19;120517_2024-04-29;130253_2024-12-26;146624_2024-12-19;125463_2023-09-25;115937_2024-03-15;163329_2023-05-04;127225_2023-06-10;174968_2023-06-08;166084_2024-04-22;100354_2023-07-16
10.802578747714136,80,174968_2023-12-18;180931_2023-07-17;146624_2023-06-05;120517_2023-08-01;188208_2024-07-09;121555_2024-05-17;166206_2023-09-17;164897_2024-12-09;139410_2023-07-23;139410_2023-01-30;133996_2024-08-17;172510_2024-11-06;118984_2024-09-18;106793_2023-05-16;191628_2023-02-10;152601_2024-02-14;160431_2023-04-25;163817_2023-04-19;164897_2024-08-03;100354_2023-01-09;188208_2024-07-03;169310_2024-08-20;133996_2023-11-19;188131_2024-10-09;188131_2024-06-19;151740_2023-10-31;130253_2023-08-05;127524_2023-03-27;140211_2023-08-17;127524_2023-05-24;113377_2023-06-03;140649_2024-02-28;100354_2024-10-13;120517_2024-12-16;184973_2023-08-16;163329_2024-10-23;121500_2023-07-04;151740_2023-02-01;129071_2024-07-25;191701_2023-03-07;184973_2023-12-26;142975_2024-12-08;136407_2023-10-21;160216_2023-12-31;123129_2023-04-04;165786_2024-04-16;133165_2024-08-30;102016_2024-12-15;125463_2024-08-15;185196_2023-12-27;191628_2024-03-03;121500_2024-11-28;129071_2024-07-16;130253_2024-12-23;121555_2024-12-22;171530_2023-10-21;142975_2023-11-10;176350_2024-07-01;133996_2024-11-03;123129_2023-12-05;179723_2023-06-14;116320_2024-04-21;172510_2023-06-08;125463_2023-08-22;151683_2023-08-17;138414_2023-10-04;142975_2023-05-05;184973_2023-08-23;160216_2024-08-18;155209_2023-11-18;176350_2024-09-21;127225_2023-06-10;188131_2024-11-20;174968_2023-06-08;142975_2024-01-10;188208_2024-04-06;169310_2023-03-16;183144_2023-06-04;151683_2024-03-04;133996_2024-04-05
