candidate_set,rmse,rmse_20_loads,net_cost,horizon_pooled_avg,horizon_bucket_avg,timestep_pooled_avg,timestep_bucket_avg,horizon_bucket_1_avg,horizon_bucket_2_avg,horizon_bucket_3_avg,horizon_bucket_4_avg,horizon_bucket_5_avg,horizon_bucket_6_avg,horizon_bucket_7_avg,horizon_bucket_8_avg,horizon_bucket_9_avg,horizon_bucket_10_avg,horizon_bucket_12_avg,horizon_bucket_14_avg,horizon_bucket_16_avg,horizon_bucket_18_avg,horizon_bucket_20_avg,horizon_bucket_25_avg,horizon_bucket_32_avg,horizon_bucket_38_avg,horizon_bucket_42_avg,horizon_bucket_50_avg,horizon_bucket_58_avg,horizon_bucket_64_avg,horizon_bucket_72_avg,horizon_bucket_88_avg,horizon_bucket_96_avg,timestep_bucket_1_avg,timestep_bucket_2_avg,timestep_bucket_3_avg,timestep_bucket_4_avg,timestep_bucket_5_avg,timestep_bucket_6_avg,timestep_bucket_7_avg,timestep_bucket_8_avg,timestep_bucket_9_avg,timestep_bucket_10_avg,timestep_bucket_12_avg,timestep_bucket_14_avg,timestep_bucket_16_avg,timestep_bucket_18_avg,timestep_bucket_20_avg,timestep_bucket_25_avg,timestep_bucket_32_avg,timestep_bucket_38_avg,timestep_bucket_42_avg,timestep_bucket_50_avg,timestep_bucket_58_avg,timestep_bucket_64_avg,timestep_bucket_72_avg,timestep_bucket_88_avg,timestep_bucket_96_avg
100354_2023-06-07;100354_2023-12-02;100354_2024-06-25;100707_2024-04-14;100707_2024-12-03;102016_2024-03-08;102016_2024-06-29;106793_2023-09-21;107448_2023-08-23;107448_2023-11-02;107448_2024-01-07;107448_2024-11-26;108517_2023-05-01;110260_2023-09-02;113377_2023-08-10;116320_2024-04-04;116320_2024-06-20;116320_2024-11-01;118984_2023-08-29;118984_2024-06-15;121500_2024-07-24;121555_2023-02-20;123129_2023-03-14;125463_2023-11-30;127225_2023-03-14;127225_2024-06-27;127225_2024-07-07;127524_2024-09-05;127524_2024-10-26;128843_2023-11-19;128843_2024-05-06;129071_2024-07-19;129071_2024-10-24;130253_2024-02-18;130253_2024-03-03;132256_2024-12-13;132967_2023-02-02;132967_2023-02-03;132967_2024-07-16;136407_2023-04-22;136407_2023-09-24;136407_2023-09-30;136407_2023-10-16;136407_2023-12-20;138414_2024-04-18;140211_2023-06-14;140649_2023-04-24;142975_2023-01-19;142975_2023-10-18;142975_2023-11-02;142975_2024-10-10;142999_2023-06-29;144492_2024-06-12;146624_2023-08-26;152601_2023-10-21;152601_2024-08-27;155209_2024-07-16;160216_2023-10-14;160431_2024-05-11;161573_2023-04-07;161573_2023-10-14;161573_2024-07-23;163595_2023-08-18;163595_2024-05-08;164897_2023-09-05;164897_2024-11-16;165786_2023-10-16;166084_2024-09-23;166206_2024-09-27;167494_2024-11-16;167494_2024-12-11;168165_2023-08-25;168165_2024-05-28;171530_2023-03-22;172262_2023-06-20;172262_2024-11-20;172510_2023-08-20;172510_2024-05-07;174968_2023-03-21;174968_2023-10-28,0.64938,0.49989,10.81602,0.96128,1.01662,0.96128,0.90536,0.0,0.49206,0.62471,0.68557,0.72514,0.7446,0.76352,0.78537,0.80542,0.82342,0.84437,0.86921,0.88479,0.90834,0.92793,0.96317,1.00145,1.03025,1.04578,1.07031,1.09704,1.11043,1.19153,1.20705,0.86467,0.90512,0.91137,0.92458,0.92837,0.92737,0.92635,0.94303,0.96126,0.94597,0.93556,0.95124,0.97371,0.94911,0.97183,0.97091,1.01005,0.97991,0.98656,0.98307,0.98476,0.91249,0.95585,0.92857,0.74454,0.0
106793_2023-04-10;108517_2024-04-07;113377_2023-02-13;113377_2023-08-03;113377_2024-06-13;113377_2024-08-17;116320_2023-01-28;116320_2024-12-29;118984_2023-04-25;120517_2023-03-07;120517_2023-11-28;120517_2024-07-01;121500_2023-08-12;121500_2024-02-02;123129_2023-07-13;125463_2023-10-15;125463_2023-12-21;127225_2023-05-02;127225_2024-06-02;127225_2024-06-27;127524_2023-02-12;130253_2024-05-14;130253_2024-09-21;132256_2023-12-01;132967_2023-09-22;132967_2023-11-12;132967_2024-04-06;133165_2024-10-17;133996_2023-03-03;133996_2023-04-02;133996_2023-04-20;138414_2023-11-03;140211_2023-04-23;140211_2024-06-18;142975_2023-01-19;142975_2024-09-28;144492_2023-07-28;144492_2023-12-08;146624_2023-08-26;147147_2023-04-24;147147_2023-05-14;147147_2023-10-10;151683_2024-09-19;151740_2023-01-09;155209_2023-04-23;155209_2024-11-11;157904_2024-01-01;157904_2024-12-15;160216_2023-01-17;160216_2023-03-29;160216_2023-04-09;160216_2024-09-21;160431_2024-05-11;161573_2023-04-07;161573_2023-06-22;161573_2023-09-11;161573_2023-12-20;161573_2024-08-06;163329_2023-03-29;163595_2023-02-25;163595_2023-08-18;165786_2023-10-08;166084_2023-02-20;167494_2024-01-08;167494_2024-01-23;167494_2024-06-30;168165_2023-02-15;168165_2023-08-25;169310_2023-08-08;169310_2023-10-10;169310_2023-12-13;169310_2024-07-01;169310_2024-10-03;170013_2024-11-10;171530_2024-03-17;171530_2024-09-18;172262_2024-11-20;172510_2023-03-10;172510_2024-09-26;174968_2023-08-16,0.61318,0.49727,10.80603,0.96234,1.02403,0.96234,0.8986,0.0,0.50018,0.63508,0.67246,0.70965,0.72745,0.74822,0.76033,0.7805,0.79609,0.82982,0.86377,0.88403,0.90499,0.91814,0.94863,1.0014,1.02827,1.04593,1.07549,1.11438,1.13278,1.2152,1.23708,0.85447,0.8958,0.9305,0.94213,0.94691,0.95495,0.9521,0.96265,0.96554,0.95743,0.96044,0.96683,0.98278,0.97941,0.97547,0.98417,1.0143,0.9906,0.97195,0.96036,0.96046,0.91733,0.94238,0.93662,0.71931,0.0
100354_2023-07-21;100354_2023-08-19;100354_2024-06-25;102016_2024-06-29;105366_2023-09-05;106298_2023-02-01;106298_2023-05-06;106793_2023-10-28;106793_2024-06-14;107448_2023-02-24;108517_2023-05-01;108517_2023-08-02;108517_2023-12-09;108517_2024-05-27;108795_2023-07-29;108795_2024-01-21;110260_2024-12-09;113377_2023-02-27;113377_2023-08-03;113377_2023-08-10;115937_2023-03-01;116320_2023-04-19;118984_2024-06-15;121555_2023-02-14;121555_2024-03-09;121555_2024-08-19;123129_2023-03-14;125463_2023-06-28;127225_2023-12-05;127524_2023-02-12;127524_2023-11-09;127524_2024-10-26;128843_2023-03-22;128843_2023-04-02;128843_2024-05-06;128843_2024-06-27;129071_2023-04-09;129071_2024-01-30;136407_2023-09-24;139410_2023-03-21;140649_2024-06-14;142975_2024-10-10;142999_2024-03-13;144492_2023-05-06;147147_2023-11-02;147147_2024-08-31;151740_2023-01-09;151740_2023-08-22;157904_2023-02-24;160216_2024-02-23;160216_2024-09-21;160431_2023-03-27;160431_2023-09-29;161573_2023-06-22;161573_2023-09-11;161573_2024-08-06;163329_2023-03-29;163329_2024-09-01;163595_2023-02-04;163817_2024-04-11;164897_2024-10-30;165786_2024-09-04;165786_2024-11-22;166084_2023-01-05;166084_2024-08-23;166084_2024-09-23;167494_2024-01-08;167494_2024-06-30;168165_2024-06-24;169310_2023-12-13;169310_2024-10-03;169310_2024-10-05;171530_2024-05-02;171530_2024-09-18;172262_2024-09-18;172510_2023-08-20;172510_2023-11-29;172510_2024-05-07;174968_2023-03-21;174968_2023-10-16,0.67533,0.48488,10.8212,0.9663,1.02412,0.9663,0.90839,0.0,0.47722,0.62545,0.68375,0.71826,0.73503,0.75459,0.77046,0.78608,0.8041,0.84249,0.86464,0.88289,0.90869,0.92909,0.96675,1.01501,1.04349,1.05339,1.07944,1.1147,1.12148,1.1968,1.21829,0.93437,0.93103,0.94484,0.94808,0.94901,1.0061,0.98383,0.9919,0.99386,0.95055,0.95356,0.95673,0.98474,0.96535,0.96395,0.97272,1.00354,1.00093,0.96173,0.96116,0.9552,0.95696,0.94471,0.92256,0.76276,0.0
100354_2023-08-19;100354_2024-06-25;100707_2023-09-06;102016_2023-07-20;102016_2024-10-15;104481_2024-07-30;105366_2023-09-16;107448_2024-08-07;107448_2024-10-09;108517_2023-08-02;108795_2023-07-29;110260_2023-01-06;112377_2023-02-13;112377_2023-10-18;112377_2024-05-22;113377_2023-07-01;113377_2024-09-29;116320_2023-11-03;116320_2024-06-14;120517_2024-08-08;121500_2024-07-24;121555_2023-02-20;121555_2023-10-09;123129_2023-03-09;123129_2024-02-01;123129_2024-08-11;127524_2023-11-09;127524_2024-01-15;128843_2023-03-22;128843_2024-06-27;129071_2023-03-16;129071_2023-04-09;130253_2023-07-26;130253_2024-02-18;130253_2024-03-03;130253_2024-09-21;132256_2023-12-01;132967_2024-08-12;133165_2024-03-01;133165_2024-03-19;133996_2023-04-09;133996_2023-04-20;136407_2023-04-22;138414_2024-11-09;140649_2024-03-22;142975_2023-10-18;142975_2024-06-07;142975_2024-09-28;144492_2023-12-08;147049_2024-01-27;147049_2024-12-20;152601_2024-08-27;155209_2023-01-10;155209_2023-09-05;155209_2024-11-15;157904_2024-01-23;157904_2024-02-10;157904_2024-05-25;160216_2024-03-08;160431_2023-03-01;161573_2023-02-25;161573_2024-07-23;163595_2024-02-27;163817_2024-01-21;163817_2024-01-26;163817_2024-06-23;165786_2024-06-04;166084_2023-01-03;166084_2024-09-23;168165_2024-01-17;168165_2024-05-28;169310_2023-12-13;169310_2024-10-03;171530_2023-06-20;172262_2023-02-12;172262_2024-02-24;172262_2024-11-20;172510_2024-12-21;174968_2023-02-25;174968_2024-05-19,0.68845,0.50547,10.81286,0.97749,1.03085,0.97749,0.91937,0.0,0.49416,0.627,0.67613,0.71454,0.73449,0.75385,0.76911,0.78456,0.80054,0.8347,0.8615,0.89158,0.9325,0.95306,0.99232,1.04054,1.06204,1.08057,1.10154,1.11827,1.11453,1.19392,1.216,0.87849,0.93306,0.93448,0.93397,0.93714,0.93717,0.93701,0.94381,0.9496,0.93864,0.94055,0.94621,0.95293,0.95217,0.96287,0.97171,1.00574,1.02442,1.03499,1.04048,1.00398,0.94114,0.97921,0.9873,0.68325,0.0
100354_2023-05-30;100354_2023-06-07;100354_2023-12-02;100707_2023-07-04;100707_2023-09-06;105366_2023-01-03;106298_2023-08-01;106298_2024-08-12;106298_2024-11-17;106793_2024-09-15;107448_2023-11-02;107448_2024-08-07;108517_2023-07-12;108517_2023-11-05;108517_2024-04-07;108795_2024-05-15;110260_2024-02-01;112377_2023-10-18;113377_2023-08-03;113377_2024-08-17;113377_2024-09-29;116320_2023-03-16;116320_2023-08-02;116320_2024-05-09;116320_2024-06-14;120517_2023-03-07;120517_2023-04-01;121500_2024-12-01;123129_2023-07-13;125463_2023-10-09;127524_2024-04-05;127524_2024-10-18;127524_2024-10-26;128843_2023-04-02;128843_2023-04-05;129071_2024-07-19;130253_2023-07-26;130253_2024-02-18;132256_2024-12-13;132967_2023-02-02;133165_2024-03-19;133165_2024-08-03;136407_2023-04-23;136407_2023-09-30;138414_2023-01-16;140211_2023-03-17;142975_2023-01-19;142975_2023-04-09;142975_2024-09-28;142975_2024-10-10;142999_2023-06-08;142999_2024-06-11;146624_2023-03-20;147147_2023-05-14;151683_2024-09-19;151740_2024-04-21;152601_2023-10-21;155209_2023-07-18;155209_2024-11-11;157904_2024-01-23;160431_2023-09-29;161573_2023-04-21;161573_2023-12-20;161573_2024-11-23;163595_2024-02-27;163595_2024-05-08;163817_2024-06-23;164897_2023-12-12;164897_2024-03-01;164897_2024-10-30;165786_2023-09-07;166084_2023-08-04;167494_2024-01-08;169310_2023-08-02;170013_2023-02-25;170013_2024-05-20;170013_2024-06-23;171530_2023-05-31;172510_2023-08-20;172510_2024-09-26,0.63704,0.47934,10.8091,0.97342,1.02727,0.97342,0.92219,0.0,0.49239,0.62188,0.68051,0.723,0.74935,0.77076,0.78615,0.8054,0.82208,0.86108,0.89465,0.91296,0.93299,0.95121,0.97917,1.02016,1.03891,1.05649,1.0819,1.10843,1.11669,1.20216,1.21862,0.85242,0.91654,0.91521,0.92211,0.92913,0.93893,0.93412,0.93813,0.95016,0.93197,0.93585,0.95585,0.97062,0.95426,0.97177,0.97048,1.01492,1.00395,1.00131,1.00804,1.01314,0.95538,0.99551,0.97928,0.76275,0.0
100354_2023-08-02;100354_2023-12-02;100354_2024-04-27;100354_2024-12-28;100707_2023-07-28;100707_2024-12-18;102016_2024-10-15;104481_2023-09-01;107448_2023-10-19;107448_2023-11-02;107448_2024-07-03;108517_2023-07-12;108517_2023-08-02;108795_2024-11-23;110260_2024-01-11;113377_2023-08-10;113377_2024-08-17;116320_2024-12-14;121500_2023-08-12;121500_2023-10-10;121500_2024-01-25;121500_2024-02-02;121500_2024-09-09;125463_2023-10-09;125463_2023-11-30;127225_2023-08-28;127524_2023-08-27;127524_2024-01-15;127524_2024-12-28;129071_2024-01-30;130253_2023-02-09;130253_2024-09-21;132967_2023-02-02;133165_2023-08-22;133165_2024-02-02;133996_2023-04-20;136407_2023-04-22;136407_2023-05-07;136407_2024-09-22;138414_2023-01-16;140649_2023-12-03;142975_2023-08-21;144492_2023-06-20;144492_2023-07-21;144492_2023-12-08;147049_2023-12-19;152601_2023-11-27;152601_2024-08-01;152601_2024-11-18;160216_2024-06-07;160431_2024-05-28;161573_2023-04-07;161573_2023-09-11;161573_2024-08-06;163329_2024-09-29;163595_2024-02-27;163595_2024-05-08;163817_2023-02-09;163817_2024-06-23;164897_2023-01-29;164897_2023-08-13;164897_2023-12-12;165786_2024-04-08;165786_2024-11-22;166084_2023-08-04;166084_2024-04-26;166084_2024-09-23;167494_2023-07-05;167494_2024-12-11;168165_2023-02-15;168165_2023-03-10;169310_2023-10-10;169310_2024-07-01;171530_2024-03-17;172262_2023-02-12;172262_2024-05-27;172510_2024-01-21;174968_2023-10-16;174968_2023-10-28;174968_2023-11-13,0.62737,0.50844,10.8059,0.97203,1.02556,0.97203,0.91459,0.0,0.5008,0.63528,0.68464,0.73277,0.76504,0.79448,0.81899,0.83416,0.84237,0.86296,0.88055,0.8965,0.9199,0.94162,0.97122,1.0128,1.03725,1.05955,1.08531,1.11183,1.11382,1.18948,1.21121,0.88334,0.93303,0.9456,0.95029,0.95518,0.96213,0.9615,0.96503,0.97226,0.9582,0.95741,0.96368,0.97661,0.97273,0.97902,0.98153,1.00267,1.00673,0.99107,0.99294,0.98876,0.92741,0.97675,0.96105,0.73088,0.0
100354_2023-08-02;100354_2024-12-28;100707_2023-01-07;100707_2024-04-14;104481_2023-11-01;105366_2024-01-02;106298_2024-03-13;106793_2024-06-14;108517_2023-04-24;108517_2023-06-11;108517_2023-12-09;108517_2024-04-07;108517_2024-05-30;108517_2024-07-13;108795_2024-01-21;110260_2024-02-01;113377_2023-02-13;113377_2024-01-04;116320_2023-01-28;116320_2024-04-04;116320_2024-05-09;118984_2024-06-15;120517_2024-08-07;120517_2024-10-01;121500_2023-08-12;121500_2023-10-10;121500_2024-01-25;123129_2024-02-01;127524_2023-07-08;127524_2023-11-09;127524_2024-01-15;127524_2024-01-23;127524_2024-04-05;127524_2024-10-18;128843_2023-04-13;128843_2024-02-22;129071_2024-07-19;130253_2023-07-26;132256_2024-01-07;132967_2023-02-03;132967_2024-02-20;132967_2024-11-28;133996_2023-04-09;136407_2024-09-22;138414_2023-01-16;139410_2023-06-21;140211_2023-03-17;140649_2023-04-24;142975_2023-01-19;142975_2024-09-28;144492_2023-05-06;146624_2023-03-12;146624_2023-08-26;147147_2023-10-10;147147_2023-11-02;147147_2024-01-18;151683_2024-05-21;151740_2024-07-24;152601_2024-12-21;155209_2023-01-16;155209_2023-09-05;160216_2024-06-07;160431_2023-09-29;160431_2024-05-28;161573_2023-06-22;161573_2023-10-14;163595_2023-02-04;163595_2023-08-18;164897_2023-01-29;164897_2023-07-03;165786_2024-09-04;167494_2024-01-23;167494_2024-10-26;169310_2024-10-05;170013_2024-11-12;172262_2023-11-11;172510_2023-01-25;172510_2024-01-06;172510_2024-01-21;174968_2023-11-13,0.646,0.51034,10.81662,0.95095,1.00936,0.95095,0.8912,0.0,0.49209,0.62043,0.67094,0.70618,0.72713,0.74583,0.7614,0.77378,0.78367,0.81207,0.8487,0.86925,0.88906,0.91428,0.95814,0.99929,1.01829,1.03054,1.05457,1.09149,1.11384,1.1918,1.20671,0.87371,0.90443,0.90848,0.91402,0.91668,0.95633,0.94916,0.96079,0.9621,0.95107,0.95146,0.959,0.97983,0.97,0.97512,0.97288,1.00651,0.94321,0.95869,0.9433,0.94873,0.91293,0.92815,0.92996,0.71666,0.0
100354_2023-12-02;100354_2024-04-27;104481_2023-08-15;104481_2024-10-02;106298_2023-06-14;106298_2024-03-13;106793_2023-10-28;106793_2024-06-14;107448_2023-08-23;108517_2023-04-24;108517_2023-06-11;108517_2023-12-09;108517_2024-05-30;108517_2024-07-13;108795_2024-06-13;115937_2024-07-11;116320_2023-03-16;118984_2023-08-29;120517_2023-04-01;120517_2023-11-28;120517_2024-07-01;121555_2024-03-09;123129_2024-08-11;125463_2023-10-09;127225_2023-12-05;127524_2024-03-16;128843_2023-11-19;129071_2024-07-19;129071_2024-12-19;130253_2024-05-14;130253_2024-05-17;132256_2023-12-01;132967_2023-11-03;133165_2024-03-19;133165_2024-08-21;133165_2024-11-27;133996_2023-10-02;136407_2023-04-23;136407_2023-10-16;138414_2024-02-24;140649_2024-03-22;142975_2023-11-02;142975_2024-06-07;142975_2024-12-10;142999_2024-06-11;144492_2023-06-20;144492_2024-06-12;146624_2023-01-11;146624_2023-08-08;146624_2024-05-25;147049_2023-08-22;147049_2024-01-27;147049_2024-04-11;147147_2024-01-18;152601_2024-08-27;155209_2023-07-18;160431_2023-03-27;161573_2023-04-07;161573_2023-06-22;161573_2024-02-04;163329_2024-09-01;163817_2024-05-09;164897_2024-07-09;164897_2024-10-30;165786_2023-02-10;165786_2023-10-08;166084_2024-08-23;166206_2023-07-12;166206_2024-10-22;167494_2023-11-16;167494_2024-11-16;168165_2024-01-17;169310_2024-10-05;170013_2024-05-20;172262_2023-07-08;172262_2024-09-18;172510_2023-11-29;172510_2024-02-12;172510_2024-09-26;174968_2023-10-16,0.6808,0.50669,10.81665,0.95878,1.01679,0.95878,0.89984,0.0,0.48984,0.62594,0.68122,0.71094,0.72809,0.7445,0.76055,0.77815,0.79747,0.82081,0.84772,0.86616,0.89603,0.921,0.95263,1.00082,1.03253,1.05744,1.08341,1.10265,1.1141,1.20253,1.21775,0.84207,0.90331,0.89983,0.90743,0.9187,0.92954,0.92052,0.9325,0.9409,0.92433,0.9281,0.93788,0.95662,0.95272,0.94778,0.97167,1.01462,0.99833,0.99281,0.97819,0.97216,0.90285,0.95173,0.94361,0.68338,0.0
100354_2023-07-21;100354_2024-06-25;100354_2024-12-28;100707_2024-04-14;102016_2024-06-29;102016_2024-10-15;104481_2023-09-01;104481_2024-05-05;104481_2024-10-02;106298_2024-11-17;106793_2023-10-28;107448_2023-11-16;107448_2024-01-07;107448_2024-05-30;107448_2024-11-26;108795_2024-05-15;110260_2023-06-23;112377_2024-10-02;116320_2024-06-12;116320_2024-11-29;118984_2023-04-25;121500_2023-05-20;121500_2024-07-24;121555_2023-02-20;121555_2024-03-31;123129_2024-02-01;123129_2024-06-13;125463_2024-01-22;127225_2024-06-02;127225_2024-06-27;127524_2024-01-15;127524_2024-03-16;127524_2024-09-05;128843_2023-04-13;129071_2024-01-30;130253_2024-03-23;132967_2023-02-02;133996_2023-06-12;136407_2023-05-07;136407_2023-10-01;138414_2023-10-18;140649_2023-01-20;142975_2024-12-10;142999_2023-05-01;144492_2023-05-06;144492_2023-07-28;144492_2024-06-12;146624_2023-03-12;146624_2023-04-28;146624_2024-05-25;151683_2024-05-09;155209_2024-11-15;157904_2023-02-24;157904_2024-02-10;160216_2023-01-17;160216_2024-08-17;160431_2024-05-11;160431_2024-05-28;160431_2024-07-01;161573_2024-07-23;161573_2024-07-29;161573_2024-08-23;163595_2023-02-25;163595_2024-05-08;163817_2024-02-14;163817_2024-05-09;164897_2024-11-16;165786_2023-10-16;166084_2023-01-05;166206_2024-09-27;167494_2023-07-05;167494_2023-08-27;167494_2024-03-08;167494_2024-11-16;168165_2023-08-25;172262_2024-05-27;172510_2023-03-10;172510_2024-09-26;172510_2024-12-21;174968_2023-11-13,0.63658,0.4887,10.81268,0.97108,1.02463,0.97108,0.91689,0.0,0.49526,0.62764,0.68784,0.72744,0.75373,0.77628,0.79795,0.81702,0.83044,0.86121,0.89299,0.91169,0.94153,0.96301,0.98268,1.01567,1.03433,1.04552,1.06712,1.10281,1.11679,1.18816,1.21411,0.89976,0.92873,0.95661,0.95918,0.9612,0.97193,0.96513,0.96603,0.98358,0.96599,0.95423,0.95479,0.99084,0.96123,0.96761,0.97598,1.00079,0.97866,0.97559,0.9665,1.00551,0.93404,0.95422,0.93432,0.78189,0.0
100354_2024-04-27;100707_2023-07-28;100707_2024-04-14;100707_2024-07-11;100707_2024-12-03;102016_2024-11-04;104481_2024-05-05;104481_2024-07-30;106298_2024-08-18;107448_2023-09-20;108517_2023-06-11;112377_2023-10-18;113377_2024-08-13;116320_2023-08-20;118984_2023-08-29;121500_2023-05-20;121500_2024-01-25;121500_2024-09-09;121500_2024-12-01;123129_2023-03-09;123129_2023-07-13;123129_2023-08-08;125463_2023-06-17;125463_2023-06-18;125463_2024-03-27;127225_2023-05-09;127225_2024-07-07;127524_2023-11-09;128843_2024-05-16;129071_2023-04-09;130253_2024-02-18;130253_2024-09-21;132256_2024-11-19;132967_2023-02-03;132967_2023-11-03;132967_2024-04-06;133165_2024-08-21;133996_2023-03-03;136407_2023-10-16;140211_2023-06-14;142975_2024-06-07;142975_2024-09-28;144492_2023-05-06;144492_2023-12-08;146624_2023-03-10;147049_2023-04-04;147049_2023-11-20;147049_2024-04-22;147147_2023-11-02;147147_2024-08-31;151683_2024-05-25;155209_2024-11-11;160216_2024-03-06;160216_2024-09-21;161573_2023-04-21;161573_2024-02-04;161573_2024-07-29;161573_2024-11-23;163329_2023-03-29;163329_2024-09-29;163817_2023-02-09;163817_2024-02-14;163817_2024-05-09;164897_2023-07-03;164897_2023-09-05;165786_2024-09-04;166084_2023-01-03;166206_2024-10-22;167494_2023-08-27;169310_2023-06-10;169310_2023-08-08;169310_2023-12-13;169310_2024-10-05;170013_2024-11-12;171530_2023-03-22;171530_2024-09-18;172262_2023-02-12;172262_2024-05-27;172262_2024-09-18;172510_2024-05-07,0.67213,0.48604,10.81132,0.95184,1.02094,0.95184,0.89094,0.0,0.48502,0.62276,0.67645,0.71348,0.73213,0.74868,0.76934,0.78075,0.79092,0.81295,0.83733,0.85874,0.87461,0.89425,0.92637,0.98854,1.00759,1.01801,1.04511,1.10938,1.15127,1.23402,1.26495,0.84288,0.90096,0.9167,0.91697,0.93511,0.95429,0.95016,0.95833,0.96427,0.95845,0.96183,0.97133,1.0173,0.97878,1.00279,0.99435,1.05084,0.92708,0.93145,0.89159,0.92827,0.88824,0.90608,0.9265,0.74542,0.0
