params,scenario,score
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.21441
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.81841
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.20373
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.80292
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.24768
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.82595
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.25748
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.82605
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.25453
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.82113
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.20967
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.81284
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.19098
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.79
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.19434
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.78695
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.25207
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.82252
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.2439
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.81941
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.20668
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.80889
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.1919
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.78801
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.19493
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.7859
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.24836
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.82002
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.23698
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.81451
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.20378
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.80294
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.24775
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.82528
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.25587
