params,scenario,score
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.2202
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.82429
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.20539
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.79997
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.22992
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.81625
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.23153
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.81528
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.23501
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.81443
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.21627
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.81948
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.19434
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.78983
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.21995
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.81001
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.22515
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.81067
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.22204
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.8111
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.21153
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.81317
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.18697
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.78174
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.21804
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.81069
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.21768
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.80962
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.21907
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.81349
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.20445
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.80196
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.23034
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.81583
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.23075
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.81508
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.22733
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.81278
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.23366
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.81437
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.19813
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.79469
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.22544
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.81092
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.22352
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.81007
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.22092
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.81064
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.22669
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.81687
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.18789
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.78271
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.22017
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.8108
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.21858
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.81103
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.22032
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.81318
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.20663
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.80492
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.23047
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81634
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.23118
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81493
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.22805
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81276
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.22559
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81211
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.22241
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81262
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",default_scenario,12.20135
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",00_baseline,3.79425
