params,score
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.61605
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.61619
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.62782
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.61122
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.61806
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.63244
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.61252
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.61372
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.62744
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.60816
"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.61243
"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.62387
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.60423
"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.61271
"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.62241
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.60775
"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.61097
"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.62442
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.61154
"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.61647
"{""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.62832
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.60977
"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.61255
"{""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.62938
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.61087
"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.61602
"{""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.63094
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.61092
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.61565
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.62857
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.61003
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.6125
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.62709
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.61018
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.61418
