params,score
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",0.76673
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",0.58745
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",0.59816
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 100}",0.61938
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 100}",0.68755
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 100}",0.74759
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100}",0.61754
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100}",0.6359
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 100}",0.65241
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 100}",0.68515
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",0.76417
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 100}",0.65182
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 100}",0.65315
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 100}",0.67379
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 100}",0.72061
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 100}",0.77227
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 100}",0.66377
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 100}",0.67373
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 100}",0.66386
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 100}",0.71092
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",0.6276
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",0.59415
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.61312
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 200}",0.64314
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 200}",0.70009
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 200}",0.62834
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200}",0.6281
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200}",0.6526
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 200}",0.66121
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 200}",0.68906
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 200}",0.651
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 200}",0.66074
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 200}",0.65953
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 200}",0.67605
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 200}",0.72024
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 200}",0.66264
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 200}",0.66878
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 200}",0.67556
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 200}",0.66475
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 200}",0.711
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",0.59668
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",0.6039
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",0.62585
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 300}",0.65429
