params,score
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",0.79493
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",0.64543
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.60496
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",0.58516
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",0.58584
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",0.76673
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",0.62687
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",0.59541
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",0.58745
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",0.59816
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",0.64619
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",0.59009
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200}",0.583
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",0.58558
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",0.60323
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",0.6276
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 200}",0.5886
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}",0.58695
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",0.59415
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.61312
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",0.60615
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",0.58354
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",0.58457
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",0.59402
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",0.61458
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",0.59668
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 300}",0.58804
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.59224
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",0.6039
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",0.62585
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 400}",0.59001
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 400}",0.58423
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400}",0.58697
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 400}",0.60228
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 400}",0.6225
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 400}",0.58862
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 400}",0.59171
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400}",0.59927
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400}",0.61102
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400}",0.64252
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 500}",0.5849
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 500}",0.58482
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 500}",0.59315
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 500}",0.60938
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 500}",0.62615
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 500}",0.58613
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 500}",0.59443
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500}",0.60379
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500}",0.61638
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500}",0.64952
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 600}",0.58323
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 600}",0.58697
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 600}",0.59799
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 600}",0.61381
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 600}",0.63108
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 600}",0.58714
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 600}",0.59945
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}",0.60834
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 600}",0.62212
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600}",0.65802
