params,scenario,score
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.20435
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.80927
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.18944
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.78863
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.22652
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.81855
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.20641
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.81049
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,12.17737
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,3.78497
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.20374
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.80936
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.18843
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.78882
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.21976
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.81678
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.20078
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.80352
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,12.18207
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,3.78871
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.18888
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.78817
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.22796
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.82162
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.19619
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.80497
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.17572
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.7846
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,12.18297
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,3.79146
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.18773
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.7885
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.22556
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.82293
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.18924
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.79263
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.18145
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.78956
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",default_scenario,12.17563
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",00_baseline,3.78389
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.22551
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81791
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.19564
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.80428
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.18228
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.78834
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.174
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.78563
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.19027
