params,scenario,score
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",default_scenario,11.11973
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",00_baseline,2.77281
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",default_scenario,11.11985
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",00_baseline,2.77265
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",default_scenario,11.12381
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",00_baseline,2.76874
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",default_scenario,11.13214
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",00_baseline,2.77123
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",default_scenario,11.12924
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",00_baseline,2.77931
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",default_scenario,11.12139
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",00_baseline,2.77421
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",default_scenario,11.12747
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",00_baseline,2.77996
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",default_scenario,11.1292
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",00_baseline,2.78204
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",default_scenario,11.1361
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",00_baseline,2.78822
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",default_scenario,11.12813
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",00_baseline,2.78158
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",default_scenario,11.12685
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",00_baseline,2.7824
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",default_scenario,11.12626
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",00_baseline,2.77822
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",default_scenario,11.1353
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",00_baseline,2.77462
