params,scenario,score
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,11.2503
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,2.90753
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,11.25682
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,2.91296
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,11.25088
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,2.91143
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,11.22102
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,2.88327
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",default_scenario,11.22084
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",00_baseline,2.87402
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,11.23761
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,2.89226
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,11.22324
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,2.88207
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,11.20703
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,2.86458
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,11.19429
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,2.84059
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",default_scenario,11.18572
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",00_baseline,2.82896
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,11.25633
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200}",00_baseline,2.91245
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200}",default_scenario,11.23169
