params,score
"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.28809
"{""max_depth"": 15, ""max_features"": 0.2, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.28898
"{""max_depth"": 15, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.29119
"{""max_depth"": 15, ""max_features"": 0.4, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.2906
"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28329
"{""max_depth"": 15, ""max_features"": 0.2, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28754
"{""max_depth"": 15, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.29036
"{""max_depth"": 15, ""max_features"": 0.4, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.29156
"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.2816
"{""max_depth"": 15, ""max_features"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.28229
"{""max_depth"": 15, ""max_features"": 0.3, ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.2872
"{""max_depth"": 15, ""max_features"": 0.4, ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.28911
"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.28671
"{""max_depth"": 15, ""max_features"": 0.2, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.28344
"{""max_depth"": 15, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.28616
"{""max_depth"": 15, ""max_features"": 0.4, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.28685
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.28628
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.28846
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.2935
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.29753
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28853
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28326
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28682
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28933
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.28498
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.28319
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.28967
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.28545
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.28698
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.27891
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.28568
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.2922
"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.28685
"{""max_depth"": 25, ""max_features"": 0.2, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.28523
"{""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.29281
"{""max_depth"": 25, ""max_features"": 0.4, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.29046
"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28736
"{""max_depth"": 25, ""max_features"": 0.2, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28655
"{""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.28958
"{""max_depth"": 25, ""max_features"": 0.4, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.29395
"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 100}",0.2842
