feature,gain,total_gain,split_count,target,fold_id
timestep,0.3074195086956024,587.1712646484375,1910.0,pv_gen,A
pv_gen,29.733118057250977,45075.40625,1516.0,pv_gen,A
time_sin,0.002842687303200364,0.12792092561721802,45.0,pv_gen,A
time_cos,0.1777387112379074,132.41534423828125,745.0,pv_gen,A
pv_lag_1,0.2231920063495636,160.6982421875,720.0,pv_gen,A
pv_lag_1_is_pad,0.0,0.0,0.0,pv_gen,A
pv_lag_2,0.09581702947616577,57.10694885253906,596.0,pv_gen,A
pv_lag_2_is_pad,0.0,0.0,0.0,pv_gen,A
pv_lag_4,0.1267344206571579,117.10260772705078,924.0,pv_gen,A
pv_lag_4_is_pad,0.0,0.0,0.0,pv_gen,A
pv_lag_8,0.16158898174762726,161.10421752929688,997.0,pv_gen,A
pv_lag_8_is_pad,0.0,0.0,0.0,pv_gen,A
pv_lag_12,0.2011798471212387,203.191650390625,1010.0,pv_gen,A
pv_lag_12_is_pad,0.0,0.0,0.0,pv_gen,A
pv_ma_2,0.8811272382736206,183.2744598388672,208.0,pv_gen,A
pv_ma_4,0.0890117958188057,28.127727508544922,316.0,pv_gen,A
pv_ma_8,0.10591328889131546,46.707759857177734,441.0,pv_gen,A
pv_ma_16,0.09401088953018188,44.4671516418457,473.0,pv_gen,A
pv_std_4,0.12246614694595337,127.60972595214844,1042.0,pv_gen,A
pv_std_8,0.13430596888065338,117.65203094482422,876.0,pv_gen,A
pv_delta_1,0.1792673021554947,260.1168518066406,1451.0,pv_gen,A
pv_delta_2,0.12180477380752563,152.25596618652344,1250.0,pv_gen,A
pv_accel,0.12145116180181503,124.00163269042969,1021.0,pv_gen,A
steps_to_daylight_start,0.0,0.0,0.0,pv_gen,A
steps_to_daylight_end,0.0,0.0,0.0,pv_gen,A
timestep,0.282278835773468,549.0323486328125,1945.0,pv_gen,B
pv_gen,28.75286865234375,47269.71484375,1644.0,pv_gen,B
time_sin,0.006128008011728525,0.3983205258846283,65.0,pv_gen,B
time_cos,0.20063583552837372,159.10421752929688,793.0,pv_gen,B
pv_lag_1,0.21370786428451538,136.9867401123047,641.0,pv_gen,B
pv_lag_1_is_pad,0.0,0.0,0.0,pv_gen,B
pv_lag_2,0.13777042925357819,97.40369415283203,707.0,pv_gen,B
pv_lag_2_is_pad,0.0,0.0,0.0,pv_gen,B
pv_lag_4,0.13041937351226807,122.07254028320312,936.0,pv_gen,B
pv_lag_4_is_pad,0.0,0.0,0.0,pv_gen,B
pv_lag_8,0.18627016246318817,184.77999877929688,992.0,pv_gen,B
pv_lag_8_is_pad,0.0,0.0,0.0,pv_gen,B
pv_lag_12,0.22613950073719025,197.1936492919922,872.0,pv_gen,B
pv_lag_12_is_pad,0.0,0.0,0.0,pv_gen,B
pv_ma_2,1.1262613534927368,298.4592590332031,265.0,pv_gen,B
pv_ma_4,0.13516353070735931,39.87324142456055,295.0,pv_gen,B
pv_ma_8,0.08240728080272675,37.49531173706055,455.0,pv_gen,B
pv_ma_16,0.10141167789697647,43.404197692871094,428.0,pv_gen,B
pv_std_4,0.11555387079715729,114.86054992675781,994.0,pv_gen,B
pv_std_8,0.15804345905780792,125.48650360107422,794.0,pv_gen,B
pv_delta_1,0.1874247044324875,267.4550476074219,1427.0,pv_gen,B
pv_delta_2,0.14092886447906494,162.6319122314453,1154.0,pv_gen,B
pv_accel,0.12100443989038467,133.4678955078125,1103.0,pv_gen,B
steps_to_daylight_start,0.0,0.0,0.0,pv_gen,B
steps_to_daylight_end,0.0,0.0,0.0,pv_gen,B
timestep,0.28820884227752686,563.4483032226562,1955.0,pv_gen,C
pv_gen,29.128076553344727,45847.59375,1574.0,pv_gen,C
time_sin,0.004897521808743477,0.09305291622877121,19.0,pv_gen,C
time_cos,0.21026717126369476,158.751708984375,755.0,pv_gen,C
pv_lag_1,0.17621904611587524,112.60397338867188,639.0,pv_gen,C
pv_lag_1_is_pad,0.0,0.0,0.0,pv_gen,C
pv_lag_2,0.09465796500444412,60.67575454711914,641.0,pv_gen,C
pv_lag_2_is_pad,0.0,0.0,0.0,pv_gen,C
pv_lag_4,0.13882401585578918,117.58394622802734,847.0,pv_gen,C
pv_lag_4_is_pad,0.0,0.0,0.0,pv_gen,C
pv_lag_8,0.1582142412662506,171.0295867919922,1081.0,pv_gen,C
pv_lag_8_is_pad,0.0,0.0,0.0,pv_gen,C
pv_lag_12,0.17704081535339355,153.6714324951172,868.0,pv_gen,C
