feature,gain,total_gain,split_count,target,fold_id
timestep,2.348798990249634,152.67193603515625,65.0,base_load,A
base_load,56.68973159790039,10147.4619140625,179.0,base_load,A
n_evs_at_home,0.0,0.0,0.0,base_load,A
time_sin,3.5112693309783936,105.33808135986328,30.0,base_load,A
time_cos,3.2852180004119873,78.84523010253906,24.0,base_load,A
base_load_lag_1,1.7554441690444946,12.288108825683594,7.0,base_load,A
base_load_lag_1_is_pad,0.0,0.0,0.0,base_load,A
base_load_lag_2,5.128625392913818,117.95838928222656,23.0,base_load,A
base_load_lag_2_is_pad,0.0,0.0,0.0,base_load,A
base_load_lag_4,2.206627368927002,79.43858337402344,36.0,base_load,A
base_load_lag_4_is_pad,0.0,0.0,0.0,base_load,A
base_load_lag_8,3.8176910877227783,95.44227600097656,25.0,base_load,A
base_load_lag_8_is_pad,0.0,0.0,0.0,base_load,A
base_load_lag_12,6.346226215362549,165.0018768310547,26.0,base_load,A
base_load_lag_12_is_pad,0.0,0.0,0.0,base_load,A
base_load_ma_2,18.520885467529297,537.1056518554688,29.0,base_load,A
base_load_ma_4,2.6752359867095947,42.803775787353516,16.0,base_load,A
base_load_ma_8,5.504157066345215,159.6205596923828,29.0,base_load,A
base_load_ma_16,2.420978546142578,50.84054946899414,21.0,base_load,A
base_load_std_4,4.432803153991699,84.22325897216797,19.0,base_load,A
base_load_std_8,3.5011491775512695,56.01838684082031,16.0,base_load,A
base_load_delta_1,2.246859312057495,69.65264129638672,31.0,base_load,A
base_load_delta_2,1.907410979270935,85.83349609375,45.0,base_load,A
base_load_accel,2.966195821762085,172.0393524169922,58.0,base_load,A
timestep,3.8066463470458984,258.8519592285156,68.0,base_load,B
base_load,59.28264236450195,11560.115234375,195.0,base_load,B
n_evs_at_home,2.661527156829834,5.323054313659668,2.0,base_load,B
time_sin,3.4806604385375977,128.78443908691406,37.0,base_load,B
time_cos,5.540184497833252,22.160737991333008,4.0,base_load,B
base_load_lag_1,1.99097740650177,35.83759307861328,18.0,base_load,B
base_load_lag_1_is_pad,0.0,0.0,0.0,base_load,B
base_load_lag_2,4.306079387664795,99.03982543945312,23.0,base_load,B
base_load_lag_2_is_pad,0.0,0.0,0.0,base_load,B
base_load_lag_4,3.8280067443847656,153.12026977539062,40.0,base_load,B
base_load_lag_4_is_pad,0.0,0.0,0.0,base_load,B
base_load_lag_8,4.576289176940918,155.5938262939453,34.0,base_load,B
base_load_lag_8_is_pad,0.0,0.0,0.0,base_load,B
base_load_lag_12,4.741654872894287,175.4412384033203,37.0,base_load,B
base_load_lag_12_is_pad,0.0,0.0,0.0,base_load,B
base_load_ma_2,12.388009071350098,433.580322265625,35.0,base_load,B
base_load_ma_4,6.220125198364258,105.74212646484375,17.0,base_load,B
base_load_ma_8,5.8724846839904785,123.32218170166016,21.0,base_load,B
base_load_ma_16,4.7385358810424805,80.55510711669922,17.0,base_load,B
base_load_std_4,0.9411153793334961,7.528923034667969,8.0,base_load,B
base_load_std_8,1.0942121744155884,15.3189697265625,14.0,base_load,B
base_load_delta_1,2.8233449459075928,107.287109375,38.0,base_load,B
base_load_delta_2,1.6609615087509155,36.54115295410156,22.0,base_load,B
base_load_accel,3.9979360103607178,223.88441467285156,56.0,base_load,B
timestep,3.4850380420684814,303.19830322265625,87.0,base_load,C
base_load,56.970577239990234,10539.556640625,185.0,base_load,C
n_evs_at_home,0.033736348152160645,0.033736348152160645,1.0,base_load,C
time_sin,4.324429512023926,160.00389099121094,37.0,base_load,C
time_cos,2.9879395961761475,23.90351676940918,8.0,base_load,C
base_load_lag_1,2.0472183227539062,12.283309936523438,6.0,base_load,C
base_load_lag_1_is_pad,0.0,0.0,0.0,base_load,C
base_load_lag_2,2.416982889175415,65.25853729248047,27.0,base_load,C
base_load_lag_2_is_pad,0.0,0.0,0.0,base_load,C
base_load_lag_4,3.247373342514038,87.6790771484375,27.0,base_load,C
base_load_lag_4_is_pad,0.0,0.0,0.0,base_load,C
base_load_lag_8,3.6949245929718018,147.79698181152344,40.0,base_load,C
base_load_lag_8_is_pad,0.0,0.0,0.0,base_load,C
base_load_lag_12,6.034054756164551,126.71514892578125,21.0,base_load,C
base_load_lag_12_is_pad,0.0,0.0,0.0,base_load,C
base_load_ma_2,3.2120699882507324,86.72589111328125,27.0,base_load,C
base_load_ma_4,4.943069934844971,143.34902954101562,29.0,base_load,C
base_load_ma_8,27.926898956298828,474.7572937011719,17.0,base_load,C
base_load_ma_16,5.3332037925720215,47.99883270263672,9.0,base_load,C
base_load_std_4,3.37316632270813,60.71699523925781,18.0,base_load,C
base_load_std_8,4.663275718688965,79.27568817138672,17.0,base_load,C
base_load_delta_1,4.4119157791137695,136.76939392089844,31.0,base_load,C
base_load_delta_2,1.4181113243103027,31.198450088500977,22.0,base_load,C
